#,utterance_id,translation,asl_gloss,negative,wh_question,yes_no_question,topic_focus,conditional_when,role_shift,head_pos_tilt_fr_bk,head_pos_turn,head_pose_tilt_side,head_pose_jut,head_mvmt_nod,head_mvmt_nod_cycles,head_mvmt_shake,head_mvmt_side_to_side,head_mvmt_jut,body_lean,shoulders,face_eye_brows,face_eye_gaze,face_eye_aperture,face_nose,face_mouth,face_cheeks
1078832,18462814,It can be expressed through speech or through sign language.,EXPRESS;THROUGH_2;(2h)TALKwg;MINOR;EXPRESS;SIGN;CURRENT-TOPIC;ROAD,,,,,,,,slightly left;slightly right,slightly right,,,,,,,slightly forward,,slightly raised;raised,down;left;other;to addressee,slightly lowered;slightly lowered,,,
1078832,18626145,The idea is basically how the two modalities are different based on their primary message system and how people express them.,"IDEA;REALLY;MORE;TWO;DIFFERENT;SEPARATE;ROAD;SET-UP;ON;5""let's see"";(5)FIRST-IN-LIST;STORY;SYSTEM;HOW;EXPRESS",,,,,,,slightly back,,slightly right;right;slightly right,,,,,,,,,raised-furrowed,,blink;lowered lid;blink;lowered lid;blink;squint;blink;squint,,,
1078832,19320448,We will expand on the voice and control of sounds in connection with the experiences.,THAT;(1h)EXPAND;(1h)EXPAND;EXPERIENCE;COOPERATE/UNITE;(1h)FIRST-IN-LIST;(1h)SECOND-IN-LIST,,,,,,,,,slightly left,,,,,,,,,lowered,left;other,further lowered;slightly squinted,,,
1078832,19262603,The first one is the voice and the second one is the control of sounds.,(nd-2)FIRST-IN-LIST;VOICE+;(nd-2)FIRST-AND-SECOND-IN-LIST;MANAGE/CONTROL;fs-OF;fs-SOUND;(nd-2)FIRST-AND-SECOND-IN-LIST,,,,,,,,slightly right;slightly left,slightly right;slightly right,,single,,,,,,,,left;left,slightly squinted;slightly squinted;squint;slightly squinted,,,
1078832,8400279,The second part of this article is titled Sensory Orientation.,(1h)THIS;ARTICLE;QUOTE/TOPIC;fs-SENSORY;fs-ORIENTATION;SECOND;SOME,,,,,,,slightly back;back;further back,,slightly right,,,,,,,,,raised;lowered;slightly lowered,down,lowered lid;wide;squint;blink;blink;lowered lid,,,
1078832,19052702,Most of it is focused on American culture and how people interpret or give meaning to different noises and voices.,MOST;FOCUS/NARROW;ns-AMERICA;CULTURE;GIFT;MEAN;INTERPRET;TO/UNTIL;DIFFERENT-arc;NOISE;VOICE+,,,,,,,,right;slightly left;slightly right;slightly right,slightly left,,,,,,,,,raised;lowered;raised,left;left;left,wide;wide;lowered lid,,,
1078832,18780843,"In 1982, Edward Hall wrote about it, as he quoted.",IN;NINETEEN;EIGHTY-TWO;IX-3p:i;WRITE;QUOTE/TOPIC,,,,,,,,,slightly right,,,,,,,,,lowered,,further lowered;lowered lid,,,
1078832,18849720,People from different cultures don't just speak different languages.,PEOPLE;DIFFERENT-arc;CULTURE;NOT;ONLY;(2h)TALKwg;DIFFERENT;LANGUAGE,negation,,,,,,,slightly right;further left;right;left,slightly right,,,,slow,,forward,,,lowered,,squint,,,
1078832,18337728,"The previous issue in DESDJ volume one number one, focused on visual feeling specifically the tactile orientation.",BEFORE_2;fs-ISSUE;ns-fs-DESDJ;#VOL;ONE;NUMBER;ONE;IX-1p;FOCUS/NARROW;(2h)alt.SEE;FEEL+;fs-TACTILE;MAJOR;fs-ORIENTATION;TALK-OVER;STILL,,,,,,,slightly back;slightly front,right,slightly right;right;slightly right,,slight slow head nod,,,,,forward/left,,raised;raised-furrowed,other,slightly wide;blink;lowered lid;slightly squinted,,,
1078832,19246273,There are a lot of key points to cover related to the audio vocal orientation concept.,REALLY;A-LOT;INCLUDE/INVOLVE;TO/UNTIL;FULL;IN;THAT;GROUP/TOGETHER;MAJOR,,,,,,,,slightly right,slightly right;slightly right;slightly right,,slow;single,,,,,,,,left;left;left,blink;squint;lowered lid;wide;blink;lowered lid,,,
1078832,18344650,Now as we move on to the next topic we will talk specifically about the audio vocal orientation.,NOW;MOVING-ON-TO-NEXT-TOPIC;TALK;ABOUT;fs-AUDIO;fs-VOCAL;fs-ORIENTATION;MAJOR,,,,,,,slightly back;slightly front,left,slightly left,,,,,,,,,,other;left;left,lowered lid;blink;blink,,,
1078832,19228641,"The testimonies as well. It's becoming to be like a bricolage, but we collect and organize the deaf experiences instead.","LECTURE;fs-TESTIMONIES;DIFFERENT;TOTAL_3;BECOME;(2h)SAME;fs-BRICOLAGE;DCL:5""gathering information"";ORGANIZE",,,,,,,,slightly left;slightly right;slightly right;slightly right,slightly right,,,,,,,forward,,,other;other;other,squint,,,
1078832,19256053,"But, for the purpose of this, I would like to focus on two things.",BUT;FOR;THINK+MEAN;THINK+MEAN;THIS_2;FOCUS/NARROW;ON;TWO;(nd-2)FIRST-AND-SECOND-IN-LIST,,,,,,,,right,slightly right,,,,,,,,,slightly raised,left;left;left,further lowered;slightly squinted;blink;further lowered;squint,,,
1078832,18953718,Now I would like to focus on audio vocal orientation. They are based on how the specfifc culture...,"(1h)NOW;IX-1p;MOVING-ON-TO-NEXT-TOPIC;FOCUS/NARROW;fs-AUDIO;fs-VOCAL;fs-ORIENTATION;MAJOR;SET-UP;ON;""WHAT"";HOW;SPECIFIC;CULTURE;5""resignation"";1""focus""",,,,,,,,left;slightly right,slightly left;slightly left,,,,,,,,,lowered;slightly raised,,blink;further lowered;closed;further lowered;lowered lid;further lowered;squint;further lowered;blink;lowered lid;squint;slightly squinted,,,
1078832,19160824,"Now, on a related topic, how do the deaf people's experiences were included in that world?",AND;MORE;COOPERATE/UNITE;HOW;DEAF;PEOPLE;POSS-3p-pl-arc;EXPERIENCE;IN;THAT;WORLD,,,,,,,,slightly right;right,,,,,,,,back,,slightly raised;lowered,left;other,blink;wide;squint;slightly squinted,,,
