#,utterance_id,translation,asl_gloss,negative,wh_question,yes_no_question,topic_focus,conditional_when,role_shift,head_pos_tilt_fr_bk,head_pos_turn,head_pose_tilt_side,head_pose_jut,head_mvmt_nod,head_mvmt_nod_cycles,head_mvmt_shake,head_mvmt_side_to_side,head_mvmt_jut,body_lean,shoulders,face_eye_brows,face_eye_gaze,face_eye_aperture,face_nose,face_mouth,face_cheeks
1379836,5873537,It's raining and it's impossible to find an umbrella.,IX-loc:i;RAIN+;IX-loc:i;IX-1p;IMPOSSIBLE+;FIND/FIND-OUT;UMBRELLA;(1h)part:indef,,,,,,,slightly back;slightly front,further right;slightly left,left;slightly right;slightly left,forward;forward,,,,,,slightly forward;slightly forward,,raised;slightly raised,up/right,wide;blink;lowered lid;blink,,open & tongue visible;open & tongue visible,
1379836,58734218,Who buys flowers?,BUY;FLOWER;WHO,,whq,,,,,back,slightly left,slightly right;slightly right;slightly right,forward;slightly forward;forward,,,rapid,,,,,slightly lowered;slightly lowered,,slightly squinted,,lips pursed: oo,
1379836,58733723,"When I don't have money, I tend to go to my aunt's and eat there.",HAPPEN;IX-1p;NONE/NOTHING;MONEY++;IX-1p;TEND;GO;AUNT;HOUSE;EAT+;IX-loc:i,negation,,,,,,slightly front;back,right;left;right,slightly right;slightly right;left;slightly right;right,slightly back;slightly back;forward;slightly back,,,slow,,,,,further raised;raised,down/right,slightly wide;slightly squinted;slightly wide;lowered lid;slightly lowered;lowered lid,,lips spread;lips pursed: oo;lips spread & crnrs down;tongue out;sh,
1379836,58733724,"If I don't have a book to read, I get bored.",#IF+;IX-1p;NONE/NOTHING;BOOK;READ;IX-1p;NONE/NOTHING;IX-1p;BORE;IX-1p;part:indef;(1h)part:indef,negation,,,,,,slightly front;slightly back,,slightly right;right,back;slightly forward,single;single,,single;slow;single,,,,,raised-furrowed;raised;slightly lowered,down;down/right,further squinted;squint;blink;squint;slightly wide;blink;further lowered;blink,wrinkle;wrinkle left,lips pursed: oo;open & round,
1379836,58735010,"After not studying, there's always a pop quiz.",HAPPEN;IX-1p;NOT;STUDY++;HIT;ALWAYS;#QUIZ;part:indef,negation,,,,,,slightly back;slightly front;slightly back,,slightly right;slightly right,slightly back;forward,,,rapid;slight rapid head shake;slight rapid head shake,,,,,slightly raised;slightly lowered,,wide;blink;slightly squinted,,right tense;right tense;lips spread;open,puffed
1379836,58734514,Why didn't you buy car insurance?,NOT;BUY;CAR;INSURANCE/INFECTION;FOR-FOR+;part:indef;(1h)part:indef,negation,whq,,,,,,slightly left;left,slightly right;slightly right;slightly right,forward;forward,,,slight slow head shake;slight rapid head shake,,,,,slightly lowered,,slightly lowered;slightly squinted;squint,,right tense,
1379836,58734020,"If you spell even one word wrong, he will take away points for it!",#IF;IX-2p;SPELL;ONE;WORD;MISTAKE;IX-3p:i;FUTURE;WRITE;SUBTRACT,,,,,,,back;further back,,slightly right;slightly left;left,forward;slightly back,,,single;single;rapid,,,,,slightly raised;raised-furrowed;lowered,,further squinted;further lowered;lowered lid;blink;slightly wide;squint;blink;further lowered;blink;slightly squinted;slightly lowered,,lips spread & crnrs down;tongue out,puffed;puffed
1379836,58733526,"If John did that to me, I won't be friends with him anymore.","#IF+;ns-fs-JOHN;DO;THAT;TO/UNTIL;IX-1p;IX-1p;5""whoa"";RELATIONSHIP-OFF;IX-1p",negation,,,,,,further front,,slightly right;left;slightly left,back;forward;back;slightly forward,,,single;slow;rapid,,,,,raised-furrowed;raised;lowered,other;other,further squinted;squint;slightly squinted;further squinted;blink;further squinted;blink;squint,,sh;open & round;bite lower lip,
1379836,58734811,"When I don't study, I am guaranteed to fail.",IX-1p+;NOT;STUDY;IX-1p;GUARANTEE;FAIL;IX-1p,negation,,,,,,slightly front;slightly back;back,right;slightly right;slightly left,slightly left;slightly left;slightly right;right;slightly left,slightly back;slightly forward,,,slow;rapid,,,,,raised;lowered,down,slightly wide;slightly squinted;blink;squint;blink;slightly lowered,wrinkle,right tense;open & tongue visible,
1379836,58734316,He will buy flowers for sure.,FOR;REALLY;IX-3p:i;FUTURE;BUY;IX-3p:j;FLOWER;YES++,,,,,,,slightly back,slightly left;right;right;right;right,left;further left;slightly right,slightly forward;slightly back,rapid;slight rapid head nod,,slow,,,,,slightly lowered,left;other;down/left,further squinted;blink;further squinted;blink;further lowered;blink;further squinted,,lips spread & crnrs down;lips spread & crnrs down;lips pursed corners down,
1379836,58734317,"If there's an emergency, where will you go?",IF+;HAPPEN;EMERGENCY+;IX-2p;GO;WHERE;part:indef,,whq,,,,,,slightly left,slightly right,slightly forward,,,single;rapid,,,slightly forward,,lowered,,slightly squinted;further lowered;blink;slightly wide;blink;slightly squinted,,tongue out,
1379836,58733822,I have no money.,IX-1p;MONEY+;IX-1p;NOTHING-AT-ALL;IX-1p;part:indef,,,,topic;topic,,,,,slightly right;right,forward,,,,,,,raised;right/raised,slightly raised;raised,,squint;blink;squint;blink;wide,,lips spread & crnrs up;lips pursed: oo;lips spread,puffed
1379823,36289800,I like chocolate cereal but there isn't any. Why is that?,IX-1p;LIKE;IX-3p:i;CHOCOLATE;fs-CEREAL;BUT;NONE/NOTHING;(25)WHY;part:indef;(1h)part:indef,negation,whq,,,,,front;back;front,slightly left;slightly left;further left;slightly right,right;slightly right,slightly forward;forward,,,slight slow head shake,,,slightly back;forward,,slightly lowered;lowered,other,slightly squinted;blink;slightly lowered;slightly squinted;blink;slightly wide,wrinkle,smile mouth open;tongue out;open & tongue visible;sh;open & tongue visible;open & round;lips pursed: oo-tight;open & tongue visible,
1379823,36289801,The sister doesn't like chocolate cereal.,IX-3p:i;SISTER;NOT;LIKE;CHOCOLATE;fs-CEREAL,negation,,,topic,,,front;slightly back,left;right,right;left;slightly right,forward,,,slow,,,,,slightly raised;lowered,down/left,closed;lowered lid;blink;lowered lid;squint;slightly lowered;blink;slightly squinted,,lips spread;smile mouth open;sh;lips pursed: oo-tight;tongue out;sh,
1379823,36298782,The weather is lousy today.,WEATHER;LOUSY;NOW++,,,,topic,,,slightly front,right,slightly left,,slight rapid head nod,,,,,,,raised;further lowered,,slightly wide;squint,wrinkle,tongue out;lips pursed: oo-tight;smile mouth open,
1379823,36298783,There is no homework today.,NOW;HOMEWORK;NONE/NOTHING,negation,,,sentence-initial adverb,,,slightly back,slightly left,slightly right;left,slightly forward,,,slow,,,,,raised,,slightly wide;slightly wide;slightly lowered,,open & tongue visible;lips spread & crnrs down;lips pursed: oo,
1379823,36288802,Dad likes chocolate cereal.,"FATHER+;IX-3p:i;LIKE;CHOCOLATE;fs-CEREAL;IX-3p:i;(1h)5""you know""",,,,topic,,,slightly front,right;slightly right,left;slightly left,forward;forward;forward,rapid,,,,,,,raised;lowered;slightly lowered,other,wide;blink;squint;blink;slightly lowered;slightly squinted,,open & tongue visible;tongue out;open & tongue visible;sh;open & tongue visible;intense;right tense,
1379823,36288803,Dad is like me. He likes chocolate cereal.,FATHER;i:SAME-1p;LIKE;CHOCOLATE;fs-CEREAL;part:indef,,,,topic,,,slightly back;front,right;slightly right,slightly right;left;slightly left,slightly forward;slightly forward;forward,rapid,,,,,,,raised;further lowered,other,slightly wide;further squinted;slightly lowered;blink;slightly lowered;slightly wide,,intense;lips pursed: mm;tongue out;open & tongue visible;right tense,
1379823,36297784,Mary is a vegetarian.,ns-fs-MARY;IX-loc:i;VEGETABLE+AGENT;VEGETABLE+AGENT,,,,topic,,,slightly back;slightly front,,slightly right;slightly left,,,,,,,,,raised,,slightly wide;blink,,lips spread & crnrs up;bite lower lip,
1379823,36297785,Mom likes surprises.,MOTHER+;IX-3p:i;LIKE;SURPRISE,,,,topic,,,slightly back,slightly left;right,slightly right;slightly left,,slow,,,,,,,raised,,slightly wide;slightly squinted,,lips pursed: mm;tongue out;smile mouth open;lips spread & crnrs up;smile mouth open;lips spread & crnrs up,
1379823,36287804,"No, I don't like chocolate cereal.",IX-1p;NOT;LIKE;CHOCOLATE;fs-CEREAL;#NO++,negation,,,,,,,,,back,,,rapid,,,back,,further lowered;raised-furrowed,,squint;blink;further squinted;blink;further squinted;blink,wrinkle,lips spread & crnrs up;tongue out;open & tongue visible;right tense;lips spread & crnrs up,
1379823,36296786,The weather today is beautiful.,WEATHER;NOW;BEAUTIFUL,,,,topic,,,,slightly left;right,slightly right;slightly left,,,,,,,,,raised;slightly lowered,,slightly wide;further lowered;blink;further lowered,,lips pursed: oo;lips spread & crnrs up;bite lower lip,
1379823,36296787,"No, Mary is not a vegetarian.",ns-fs-MARY;IX-3p:i;NOT;VEGETABLE;#NO+,negation,,,topic,,,slightly back,,,,,,slow,,,,,raised;slightly lowered,,slightly wide;further lowered;slightly squinted,,lips pursed: mm;open & corners down;lips spread & crnrs down;open & corners down;bite lower lip;open & corners down;lips spread & crnrs down,
1379823,36295788,"The weather today isn't lousy, it's fine.",WEATHER;NOT;LOUSY;NOW;FINE+,negation,,,topic,,,slightly back;slightly front,,,slightly forward,slight single head nod,,slow,,,,,raised;lowered,,wide;squint,slightly tensed,tongue out;open & corners down;lips pursed: oo;lips spread & crnrs down;lips spread,
1379823,36295789,Mom doesn't like surprises.,MOTHER;NOT;LIKE;SURPRISE,negation,,,topic,,,,slightly right,slightly right;slightly left;slightly left,,,,slow,,,,,raised;further lowered,,slightly wide;squint;blink;slightly lowered,tensed;wrinkle,open & tense;tongue out;smile mouth open,
1379823,36294790,The weather isn't beautiful today.,WEATHER;NOT;BEAUTIFUL;NOW,negation,,,topic,,,slightly back,,slightly right;left,,,,slow,,,,,raised,,slightly wide;further squinted,,tongue out;lips pursed: mm;lips pursed: oo;bite lower lip;lips spread & crnrs up,
1379823,36294791,I like pineapple cream cheese.,LIKE;PINEAPPLE;fs-CREAM;CHEESE,,,,,,,,left,right,forward;slightly forward,slow,,,,,,,,,slightly wide;lowered lid;blink;slightly wide;blink,,smile mouth open;smile mouth open,
1379823,36293792,Why isn't there any pineapple cream cheese?,(25)WHY;IX-loc:i;PINEAPPLE;CHEESE;NONE/NOTHING;part:indef,negation,whq,,,,,slightly back,slightly left;slightly right,,forward;forward,,,rapid,,,,,lowered;lowered,,slightly squinted;slightly wide;squint,tensed;tensed,lips pursed: oo;open & tongue visible;lips pursed: mm;sh;lips pursed: oo,
1379823,36293793,"No, your sister doesn't like pineapple cream cheese.",POSS-2p;SISTER;NOT;LIKE;PINEAPPLE;fs-CREAM;CHEESE;#NO,negation,,,,,,,slightly left,,,,,rapid,,,,,further lowered,to addressee;to addressee;into space;to addressee;down/left,further squinted;blink;further squinted,wrinkle;wrinkle;tensed;slightly wrinkled;tensed,open & round;raised upper lip;open & round;lips pursed: mm;sh;lips spread & crnrs down,
1379823,36292794,"Yes, I like pineapple cream cheese.",IX-1p;LIKE;PINEAPPLE;fs-CREAM;CHEESE;YES,,,,,,,,left;slightly left,right;slightly right,slightly forward;slightly forward,rapid,,,,,,,lowered,,squint,,smile mouth open;tongue out;open & tongue visible;lips pursed: mm;lips pursed: mm;blow;smile mouth open,
1379823,36292795,My father and I are alike. We both like pineapple cream cheese.,FATHER;i:SAME-1p;LIKE;PINEAPPLE;fs-CREAM;CHEESE,,,,topic,,,,right,right;left;slightly right,,slight single head nod;slow,,,,,,,slightly raised,other,wide;lowered lid;blink;slightly lowered,,smile mouth open;lips pursed: mm;tongue out;open & tongue visible;lips pursed: mm;lips pursed: mm;lips spread & crnrs up;smile mouth open,
1379823,36291796,No! I don't like pineapple cream cheese.,#NO;IX-1p;NOT;LIKE;PINEAPPLE;fs-CREAM;CHEESE;#NO,negation;negation,,,,,,,right;right,,back;slightly forward;slightly back,,,slow,,,back/left,,further lowered;slightly lowered,other;other,closed;further squinted;blink;further squinted;further lowered;blink,wrinkle,lips spread & crnrs up;tongue out;lips pursed: mm;lips pursed: mm;lips spread & crnrs up,
1379823,36291797,I prefer lox cream cheese.,IX-1p;FAVORITE/PREFER+;IX-3p:i;fs-LOX;fs-CREAM;CHEESE,,,,,,,slightly back;front;slightly front,slightly right,left,slightly forward;slightly forward;forward,slow,,,,forward,,,slightly lowered,other,blink;further lowered;blink;lowered lid;slightly lowered;blink;slightly lowered,,lips pursed: mm;bite lower lip;tongue out;open & tongue visible;lips pursed: mm;smile mouth open,
1379823,36290798,If that is pineapple cream cheese then I won't eat the bagel.,"#IF;IX-3p:i;PINEAPPLE;fs-CREAM;CHEESE;(1h)5""wave no"";IX-1p;REFUSE;EAT+;fs-BAGEL;(1h)5""wave no""",negation,,,,,,slightly back;front;back;slightly back,right;slightly right,slightly left;slightly right,forward;back,,,slight slow head shake,,,back;back,,raised;further raised;raised-furrowed,down/right;down,slightly wide;wider;blink;lowered lid;blink;further lowered;blink;lowered lid,tensed;wrinkle,bite lower lip;intense;lips spread & crnrs down;lips pursed: mm;open & tongue visible;tongue out;lips spread,
1379823,36290799,I agree with you. If that's pineapple cream cheese then I won't eat the bagel.,i:SAME-1p;IX-3p:i;#IF;IX-3p:j;HAVE;PINEAPPLE;fs-CREAM;CHEESE;IX-1p;REFUSE;EAT;fs-BAGEL;i:SAME-1p,negation,,,,,,front;back;slightly front;front,right;right,left;slightly right;slightly left;slightly right,forward;slightly forward;forward,slow,,slow,,,forward,,slightly lowered;further raised,other;other;down/right;down;other,squint;blink;lowered lid;blink;squint;wide;blink;slightly lowered;blink;lowered lid;blink,wrinkle,lips pursed: mm;bite lower lip;open & tongue visible;bite lower lip;lips pursed corners down;lips pursed: oo;open & round,
1512935,47904512,I know that what happens down there is very taboo to hearing people.,"KNOW;DOWN;5""wave no"";fs-TABOO;TO/UNTIL;HEAR;(1h)AREA;5""wave no""",,,,,,,,slightly left;slightly right,,,,,,,,,,raised,down/right;down;into space;other,closed;further lowered;squint;closed;wider,,,
1512935,47065092,So I came to view the bathroom as the safe sanctuary for making those kinds of noises.,OH-I-SEE;TOILET;IX-1p;VISUALIZE;BECOME;SAFE;fs-SANCTUARY;FOR;THAT;KIND;NOISE,,,,topic,,,,,right;further right;slightly left,,,,,,,left;slightly right,,raised;raised-furrowed,,wider,,,
1512935,45881614,Some CODAs shared their experience of an embarrassing moment.,SOME;fs-CODA;IX-3p:i/j;BETWEEN/SHARE;EMBARRASS;MINUTE;POSS-3p-pl-arc;EXPERIENCE,,,,,,,,slightly left;left,left,,,,,,,,,lowered;slightly lowered,,blink;squint;further lowered;squint,,,
1512935,51764495,He was shocked because she used the same line as his parents when he was growing up.,LOOK:j;VISUALIZE;SAME;LINE;MOTHER+FATHER;MOTHER+FATHER;USE_2;IX-3p:i;UP-TO-NOW;GROW-UP;LOOK:j;BUOY,,,,,,,,right;right,right,,,,,,,,,raised-furrowed,other;other,blink;blink;slightly squinted;squint,,,
1512935,47427088,It's still a necessity to control how you emit the waste properly.,"(1h)QUOTE/TOPIC;MUST;HAVE;MANAGE/CONTROL;HOW;IX-2p;fs-EMIT;DCL:5""emit waste"";fs-WASTE",,,,,,,,,right;slightly right,,,,,,,,,raised-furrowed,left;down,lowered lid;squint;blink;slightly squinted,,,
1512935,49985301,"There's a story about a Deaf man who grew up in a hearing family; and the family was not so great with sign language. Every time he went to the bathroom, his parents would react to the loud noise.","ONE;FRIEND;IX-loc:i;STORY;ABOUT;IX-3p:i;GROW-UP;HEARING;FAMILY;IX-3p:i;FAMILY;SIGN;SO-SO;(1h)part:indef;EACH;TIME;GO;TOILET;MOTHER+FATHER;MOTHER+FATHER;5""shocked"";LOUD",,,,topic;topic;topic;topic,,,,,right;right;slightly right;slightly left;slightly right;slightly right;slightly right,,,,,,,,,raised-furrowed;further raised;raised-furrowed,left;down/left;down/left,lowered lid;blink;lowered lid;wide;blink;lowered lid;blink;further lowered;closed;further lowered;closed;further lowered;closed;further lowered;blink;closed;blink;blink,,,
1512935,46516761,"Or if someone goes above the acceptable range, then people will look upon that person negatively.","fs-OR;#IF;IX-1p;ABOVE_3;ACCEPT+;fs-RANGE;IX-loc:i;INTERPRET;IX-3p:j;OH-I-SEE;SCL:V/2""look up and down"";KIND;PERSON;IX-3p:j;SCL:V/2""look down""",,,,,,,slightly back;back,right,slightly left,,,,,,,,,further raised,left;other,wide;squint;slightly squinted;slightly lowered;slightly squinted;squint,,,
1512935,51779354,"He said, ""pissing like a horse is good."" She said, ""No! It's awful.  It's very loud.""",PISS-OFF;SAME;HORSE;part:indef;(1h)GOOD/THANK-YOU;SAME;WOW/AWFUL;LOUD,negation,,,,,,,further right,,,,,slight rapid head shake,,,,,raised-furrowed,down;into space,further squinted,,,
1512935,45678110,"But, it's not precisely permitted since those places have their own hearing culture of expectations in the voice range.","5""uncertain"";IX-loc:i;HAVE;YES_2;(2h)alt.SCREAM;(1h)AREA;AUDIENCE;IX-3p-pl-arc;HEARING;POSS-2p;CULTURE;IN+;KNOW;fs-OF;VOICE-RANGE_2;fs-RANGE;VOICE;VOICE-RANGE",,,,focus;topic,,,slightly back;back;slightly front,,slightly right;slightly left;slightly right;slightly left,,,,,,,back;left;left,,raised-furrowed;further raised;raised;raised-furrowed;raised,into space;other;up;other;down/right;down/right;watch hands;watch hands;down,wide;slightly squinted;squint;wide;wide;wide;squint;lowered lid;slightly squinted;further squinted;wide,,,
1512935,39918381,"If someone were to make a loud noise, they would be looked down upon as no good, having no class, and being impolite.","NOISE;LOUD;5""wow"";LOOK-OVER;(1h)part:indef;PERSON;REALLY;THINK;NO-GOOD;(1h)part:indef;fs-CLASS;part:indef;POLITE;NONE/NOTHING;(1h)part:indef;LOOK-OVER;part:indef",negation;negation,,,,,,,left;left;right;right;right;right;left,left;right;slightly right;slightly right,,,,slight single head shake;slight single head shake,,,slightly right;slightly right,,raised-furrowed,left;down/left;left;up/right;other;other;other;other;left;left,blink;slightly squinted;further lowered;blink;blink;slightly squinted;squint,,,
1512935,46361389,There are many different experiences reported by various testimonies.,THAT;(2h)IX-3p:i;DIFFERENT;IX-3p:i;IX-3p:j;EXPERIENCE;IX-3p:i;(2h)IX-3p:j;BETWEEN/SHARE-arc;THROUGH;DIFFERENT;fs-TESTIMONIES;IX-3p:j,,,,,,,,slightly left,slightly right;slightly left,,slight rapid head nod,,,,,,,raised-furrowed,other;into space;left,further squinted;blink;further lowered;blink;lowered lid,,,
1512935,50787137,He was pleased with the remark. His parents gave up about it and left him alone.,part:indef;FINE;MOTHER+FATHER;MOTHER+FATHER;LOOK;GIVE-UP+(2h)fs-UP;GIVE-UP+(2h)fs-UP;FINISH;LEAVE-THERE,,,,,,,,slightly left;slightly right,slightly right,,,,rapid,,,right,,raised-furrowed;further raised;raised-furrowed,left;into space;other,wide;lowered lid;blink,,,
1512935,45846594,"Deaf people scream and if it goes over the spectrum, people would notice it.","VOICE-RANGE;DEAF;(1h)SCREAM;HEAR;(1h)SCREAM;DCL:crvd-B""above the voice range"";SCL:3""people staring"";NOTICE",,,,,,,,right;further right;left,,,rapid,,,,,,,raised;raised-furrowed;raised;raised-furrowed;raised;raised-furrowed;raised;slightly raised,left;other;other;left,wide;squint;wide;further squinted;blink;blink,,,
1512935,50685256,He wasn't sure what was it meant. He thought that it was a positive thing - that he urinated like a very healthy horse. So he was delighted by his parents' comment.,"LOOK;(1h)part:indef;part:indef;#WHAT;part:indef;MEAN;part:indef;IX-3p:i;THINK;MEAN;PLUS+;SAME;DCL:S""strong horse"";BRAVE/RECOVER;HORSE;SCL:S""horse galloping"";part:indef;part:indef;FINE+;part:indef;MOTHER;1p-LOOK:j;LOOK:j;part:indef;#OK;part:indef",,,,focus,,,,left;left;slightly left;left;left;left;slightly right;left,slightly right;slightly right;slightly right;slightly right;slightly left;slightly right,,slight rapid head nod;slow;slow,,,,,,,raised-furrowed;further raised;raised-furrowed;further raised;raised-furrowed;further raised;raised-furrowed;further raised,left;left;down/right;down/right;left;left;down/left;down/left;down/left;down/left;into space;down;left;other;left,lowered lid;blink;squint;lowered lid;blink;blink;further lowered;blink;blink;blink;blink;blink;blink;blink;wide,,,
1512935,49666377,"He was around 15 years old at that time. When he found out, he was disturbed about it. Well, he was lucky, because I know others who didn't come to know about this until much later.",fs-WAS;AROUND;FIFTEEN;OLD;(2h)KNOW+NEG;(2h)KNOW+NEG;OH-I-SEE;DISGUST;IX-3p:i;fs-AT;OLD+FIFTEEN;OLD+FIFTEEN;LUCKY;IX-3p:j;(B-L)BECAUSE;(1h)HAVE;OTHER;DEAF;WHO;KNOW+NEG;KNOW+NEG;TO/UNTIL;FUTURE;LATER_2;IX-3p:i;fs-AT;OLD+FIFTEEN;OLD+FIFTEEN;OTHER,negation;negation,,,,,,,right;slightly left;left,,,slow,,slow;slow,,,,,further raised,other;up/left;down/left;into space;other;into space;into space;into space,wide;blink;wide;blink;wide;blink;wide;squint;blink;blink,,,
1512935,48629582,"He was making bubbles creatively. After that, he flushed.","DCL:crvd-sprd-B""making bubbles"";ALL;DCL:5""bubbles covering toilet bowl"";FULL;5""cheering"";FINISH;FLUSH",,,,,,,,,slightly left;right;left;right;left;right;left;right,,,,,,,,,raised-furrowed;raised;raised-furrowed,down;down;down;down,lowered lid;further lowered;further lowered;closed;further lowered,,,
1512935,47877712,"When they enter the bathroom and are ready to eliminate waste, they will turn on running water or music to cover up and drown out the bathroom noises.","IX-1p;ENTER;TOILET;DCL:crvd-V""sit on toilet"";GO_2;TOILET;IX-1p;IGNITION-ON;WATER;DCL:5""water running"";5""ehh"";DCL:5""water running in toilet bowl"";DCL:5""water running down side of toilet bowl"";#OR;MUSIC;DCL:5""cover up both noises"";fs-DROWN;DCL:5""cover up both noises"";THAT;(1h)NOISE;TOILET;DCL:bent-B-L""emit waste""",,,,,,,,right;right;slightly left,slightly right,,,,,,,,,further raised;raised-furrowed;further raised;raised-furrowed,down;left;other;other;left;watch hands,wide;wider;wide;slightly squinted;squint;slightly squinted;slightly wide;further lowered;slightly squinted,,,
1512935,47609690,"There's a cultural range, you cannot go in the bathroom and emit waste loudly. People would be horrified. You have to emit the waste gently.","(1h)HAVE;CULTURE;VOICE-RANGE;fs-RANGE;CANNOT;ENTER;DCL:5""emit waste"";FUTURE;5""surprised"";DCL:5""extremely embarrassed"";MUST;DCL:5""gently emit waste"";(1h)HAVE;MANAGE/CONTROL;(1h)WOW/AWFUL;IX-loc:i;SAME;CARRY",negation;negation,,,,,,,left;slightly right;right;left;slightly right,,,slow,,single;slow,,,,,raised-furrowed;raised-furrowed;lowered,left;watch hands;left;down/right;into space;other;down/right;other;left;into space;left;watch hands,further squinted;squint;blink;wide;blink;wide;further squinted;blink;lowered lid;closed;lowered lid;further squinted;blink;further squinted;squint,,,
1512935,51694177,"They went out on a date. When they got home, he went to the bathroom, and the CODA woman heard him. When he got out, she told him, ""You piss like a horse.""","GO-OUT;DATE/DESSERT;PROGRESS;POSS-3p:i;HOME;5""gathering"";ENTER;TOILET;fs-CODA;(5)WOMAN;LOOK:j;HEAR;IX-3p:i;5""wow"";OUT;POSS-3p:i;IX-2p;PISS-OFF;SAME;HORSE;IX-2p;HEAR;IX-3p:i;5""wow""",,,,,,,,left;slightly left;slightly right;right;right;left;left,right;slightly left;slightly right;slightly left;slightly right,,,,,,,left;slightly right,,further raised;raised-furrowed;further raised;raised-furrowed,into space;left;left;other;other;other;left;left,lowered lid;blink;lowered lid;blink;lowered lid;squint;further lowered;squint,,,
