word,count
learned,4
situations,4
areas,4
toilet,4
basketball,4
avoid,4
ate,4
tried,4
field,4
enough,4
clear,4
rules,4
put,4
noisy,4
married,4
point,4
swim,4
sun,4
cleaned,4
crowded,4
whos,4
lake,4
along,4
tv,4
yell,4
refuses,4
frances,4
tree,4
alarm,4
favorite,4
delicious,4
fun,4
nothing,4
uses,4
winter,4
sit,4
asl,4
fall,4
roommate,4
crash,4
names,4
paid,4
especially,4
currently,4
closed,4
hosted,4
computer,4
rose,4
florida,4
danced,4
anniversary,4
pies,4
analyze,4
level,4
considered,4
called,4
involve,4
allowed,4
quickly,4
ranges,4
audiovocal,4
rise,4
politics,4
gas,4
whose,4
understand,4
lost,4
connection,4
real,4
given,4
transfer,4
silent,4
area,4
audio,4
beyond,4
accept,4
laughing,4
except,4
third,4
election,4
son,4
hospital,4
leaves,4
pete,4
hope,4
snowing,4
thrilled,4
lives,4
farmland,4
crashes,4
wins,4
gift,4
american,4
interesting,4
sarah,4
ice,4
keys,4
seems,4
uncles,4
wouldve,4
card,4
matter,4
half,4
stayed,4
hey,4
doubt,4
coughing,4
characteristics,4
smashed,4
grief,4
hospitals,4
guilty,4
turkey,4
semester,3
buys,3
agree,3
safe,3
story,3
healthy,3
comment,3
bubbles,3
turn,3
cover,3
piss,3
gallaudet,3
identify,3
public,3
true,3
bowl,3
judgment,3
player,3
fans,3
yelling,3
grandstand,3
everything,3
pages,3
switch,3
polite,3
problem,3
leaving,3
exhausted,3
shopping,3
bake,3
collect,3
orange,3
joining,3
neighbor,3
france,3
mall,3
flat,3
ski,3
philadelphia,3
door,3
cancel,3
surf,3
slept,3
calls,3
easy,3
beat,3
close,3
lights,3
glasses,3
wear,3
text,3
communicate,3
save,3
horror,3
worked,3
opportunity,3
fresh,3
traffic,3
listened,3
invite,3
skiing,3
else,3
page,3
best,3
barbeque,3
mowing,3
breaks,3
sweetheart,3
ended,3
wonderful,3
frequently,3
song,3
race,3
wrote,3
messed,3
blue,3
offer,3
harry,3
7,3
visualize,3
issues,3
warnings,3
clip,3
open,3
rip,3
warning,3
styrofoam,3
earlier,3
tells,3
closing,3
persons,3
answers,3
afternoon,3
club,3
age,3
watched,3
scared,3
serious,3
noticed,3
acting,3
actor,3
action,3
judgments,3
ride,3
drove,3
little,3
decides,3
myself,3
guarantee,3
analyzing,3
pitched,3
research,3
focused,3
loop,3
alive,3
become,3
disorder,3
try,3
connected,3
suppose,3
career,3
visualized,3
focus,3
saying,3
topic,3
laughter,3
community,3
excessive,3
change,3
discussing,3
deep,3
taught,3
doctor,3
fell,3
wait,3
lying,3
magazines,3
hisher,3
birth,3
truth,3
times,3
globe,3
required,3
wouldnt,3
growth,3
visual,3
striped,3
part,3
vacations,3
obey,3
choose,3
team,3
knew,3
linguistics,3
allergic,3
course,3
republican,3
primary,3
lied,3
stole,3
mouse,3
chasing,3
spinach,3
computers,3
article,3
heights,3
write,3
hawaii,3
phil,3
mormon,3
rick,3
perry,3
peanut,3
vote,3
jim,3
joe,3
plane,3
award,3
wash,3
monday,3
contact,3
fedex,3
pasta,3
afraid,3
received,3
spend,3
lots,3
asks,3
south,3
longer,3
rit,3
plus,3
breakdown,3
serve,3
professor,3
message,3
praise,3
doing,3
specifically,3
dyed,3
bonfire,3
options,3
collided,3
utah,3
perfectly,3
negative,3
model,3
intervening,3
mph,3
babies,3
bu,3
shes,3
james,3
jamaica,2
hang,2
dollar,2
wish,2
seeing,2
aunts,2
insurance,2
points,2
emergency,2
shared,2
moment,2
react,2
upon,2
remark,2
alone,2
notice,2
positive,2
urinated,2
music,2
horrified,2
natural,2
body,2
burp,2
etc,2
university,2
terrible,2
church,2
young,2
needed,2
pee,2
emits,2
items,2
less,2
attending,2
popcorn,2
pretty,2
necessarily,2
nearby,2
turning,2
embarrassed,2
changed,2
habits,2
feeling,2
free,2
apply,2
cheering,2
elbow,2
shh,2
explained,2
ohh,2
ever,2
feed,2
burn,2
freshman,2
tradition,2
walks,2
feeding,2
successful,2
roommates,2
colors,2
collars,2
waves,2
walking,2
swam,2
whole,2
heads,2
dying,2
scout,2
staying,2
sally,2
enters,2
spray,2
silly,2
string,2
attention,2
lack,2
addicted,2
traveling,2
trouble,2
india,2
thanking,2
supporting,2
travels,2
records,2
ipods,2
3028,2
nearly,2
upstairs,2
vp,2
flash,2
safely,2
beats,2
pc,2
sleep,2
principal,2
rather,2
caught,2
bucket,2
eyes,2
travel,2
comedy,2
paying,2
talked,2
honestly,2
commuting,2
balance,2
memorizing,2
hurry,2
hosting,2
remind,2
tease,2
countries,2
variety,2
plays,2
immediately,2
afford,2
charge,2
garage,2
double,2
lay,2
tan,2
introducing,2
picking,2
stamps,2
runs,2
berry,2
potter,2
introduced,2
ocean,2
envelope,2
observe,2
interpretation,2
similar,2
explaining,2
louder,2
viewed,2
torn,2
clanking,2
putting,2
peel,2
cup,2
status,2
socialize,2
ripped,2
reduce,2
discussion,2
tasks,2
accepted,2
blamed,2
innocent,2
clock,2
respect,2
seen,2
conflict,2
visualtactile,2
oriented,2
life,2
perhaps,2
amy,2
cousin,2
johns,2
remember,2
sunscreen,2
follow,2
adopts,2
pet,2
maintained,2
television,2
finally,2
bauman,2
presented,2
therefore,2
overnight,2
minute,2
feels,2
properties,2
irritating,2
correlated,2
attempt,2
form,2
relation,2
categories,2
implications,2
ventriloquism,2
direction,2
smart,2
able,2
strong,2
swashbuckler,2
tempo,2
werent,2
mentioned,2
perceive,2
history,2
included,2
awkward,2
compare,2
taps,2
shoulder,2
hello,2
question,2
judge,2
conception,2
accommodations,2
powerful,2
professional,2
players,2
candidate,2
iowa,2
caucus,2
specific,2
international,2
code,2
locker,2
country,2
automatically,2
screaming,2
girl,2
australia,2
thrown,2
kicked,2
sounded,2
general,2
happening,2
fighting,2
excess,2
signs,2
shouldnt,2
vocalization,2
throughout,2
lifting,2
skills,2
expected,2
becoming,2
placed,2
willing,2
meanings,2
showed,2
intelligible,2
paul,2
takes,2
nights,2
lie,2
regret,2
summer,2
days,2
drinking,2
pick,2
whatever,2
languages,2
stops,2
reads,2
george,2
boat,2
says,2
concert,2
normally,2
hegemony,2
possible,2
orientations,2
influence,2
education,2
senses,2
todays,2
far,2
shitfaced,2
sunbathing,2
sunbathe,2
approached,2
waiting,2
irish,2
tiny,2
onto,2
elected,2
peanuts,2
cake,2
against,2
uncle,2
struggled,2
airlines,2
id,2
stuck,2
marathon,2
8,2
9,2
gold,2
parker,2
palin,2
thursday,2
friday,2
spring,2
coat,2
arrested,2
breakfast,2
hurricane,2
dvd,2
netflix,2
scratched,2
light,2
mine,2
mitt,2
romney,2
beth,2
newton,2
brookline,2
tastes,2
apartment,2
jen,2
mcdonalds,2
hamburgers,2
alec,2
baldwin,2
hungry,2
realizing,2
n,2
learning,2
services,2
100,2
picks,2
anyone,2
face,2
instead,2
neglects,2
succeed,2
breaking,2
tasted,2
literature,2
final,2
storm,2
puerto,2
rico,2
introduce,2
remembers,2
lazy,2
apple,2
easier,2
drivers,2
license,2
drop,2
return,2
decorate,2
kick,2
sends,2
resume,2
dorm,2
brothers,2
most,2
decision,2
fact,2
done,2
ibm,2
graduated,2
institute,2
wears,2
thinks,2
interviewed,2
restaurant,2
feet,2
five,2
starting,2
soup,2
magazine,2
air,2
spent,2
syntax,2
checklist,2
underlying,2
expression,2
though,2
inhaled,2
whenever,2
thank,2
inhale,2
illness,2
signed,2
writing,2
pitch,2
breathing,2
understanding,2
edward,2
expressed,2
however,2
ways,2
gestures,2
number,2
four,2
barack,2
informing,2
cancer,2
screening,2
tennessee,2
questions,2
link,2
identified,2
resources,2
nurse,2
counselor,2
worker,2
commutes,2
fucked,2
listens,2
asleep,2
equals,2
tax,2
relationship,1
neglect,1
spell,1
alike,1
taboo,1
view,1
sanctuary,1
codas,1
embarrassing,1
line,1
necessity,1
properly,1
negatively,1
pissing,1
precisely,1
impolite,1
reported,1
pleased,1
spectrum,1
delighted,1
15,1
disturbed,1
lucky,1
creatively,1
flushed,1
eliminate,1
drown,1
gently,1
date,1
fart,1
colleague,1
stall,1
exchange,1
careful,1
subsequent,1
expectation,1
urinating,1
handle,1
culturally,1
settled,1
peed,1
peeing,1
theatre,1
kernels,1
thinking,1
sanucatory,1
carried,1
holding,1
gaining,1
yards,1
experiment,1
entered,1
mid,1
20s,1
bible,1
continued,1
rustling,1
turned,1
surface,1
remarks,1
gulped,1
urinate,1
side,1
judging,1
controlling,1
implicit,1
obliviously,1
gamesthe,1
sites,1
cheer,1
assume,1
nudged,1
pointed,1
pushed,1
astonished,1
shut,1
permission,1
ennis,1
rustle,1
lesson,1
emitting,1
whereas,1
happily,1
hangups,1
background,1
limited,1
deans,1
following,1
arried,1
beacuse,1
edge,1
guest,1
succeeds,1
firewood,1
chance,1
bed,1
fires,1
session,1
talks,1
silber,1
current,1
cracked,1
quit,1
asia,1
traveled,1
videogame,1
grocery,1
expenses,1
barely,1
google,1
chrome,1
succesfully,1
kudos,1
laptop,1
via,1
laptops,1
flip,1
flops,1
planned,1
21st,1
cooking,1
suiting,1
accidentally,1
check,1
hurried,1
filled,1
videophoning,1
outing,1
crying,1
drink,1
crowd,1
norm,1
unfinished,1
experienced,1
web,1
websites,1
extra,1
hooked,1
monitor,1
asian,1
compared,1
21,1
commendable,1
difficult,1
seat,1
calling,1
texting,1
postcard,1
support,1
undoubtedly,1
summons,1
repairs,1
grass,1
crashing,1
months,1
shrit,1
costume,1
wrestle,1
chatting,1
2pm,1
blow,1
top,1
fked,1
seemed,1
lonely,1
objects,1
environment,1
challenging,1
manila,1
somebody,1
sticky,1
strip,1
seal,1
fit,1
anger,1
happiness,1
assess,1
intelligence,1
vary,1
papers,1
estimation,1
lowered,1
rowdy,1
quieter,1
highly,1
wellknown,1
videotape,1
angela,1
petrone,1
stratiy,1
1999,1
problems,1
shares,1
cases,1
acceptance,1
forbidden,1
varies,1
dropping,1
forks,1
interpreted,1
occasion,1
misinterpreted,1
dear,1
hmm,1
depends,1
journal,1
holes,1
peeled,1
extremely,1
fingernails,1
scratching,1
chalkboard,1
cups,1
regarded,1
opening,1
cabinets,1
haunted,1
risk,1
advice,1
animals,1
joined,1
advisior,1
scary,1
apples,1
volunteer,1
organizations,1
getting,1
picked,1
honor,1
assigned,1
riding,1
airplanes,1
flying,1
appointment,1
approach,1
appropriately,1
horrible,1
alcohol,1
d,1
exercise,1
worst,1
enemy,1
completed,1
dramas,1
analyzed,1
math,1
ancestors,1
germany,1
necessary,1
viewing,1
expanded,1
norms,1
focusing,1
politeness,1
barbaric,1
exceed,1
interpretations,1
giving,1
whoever,1
slowminded,1
differences,1
past,1
checked,1
sunburn,1
forgot,1
shore,1
mood,1
logs,1
assorted,1
mad,1
parkf,1
teachers,1
bother,1
mouth,1
ears,1
motivate,1
diagnoses,1
applied,1
described,1
ghosts,1
equally,1
generally,1
quesiton,1
speaks,1
utterly,1
disordered,1
died,1
zombie,1
disconnected,1
reality,1
actors,1
types,1
variations,1
mouthtoear,1
explain,1
30year,1
span,1
developed,1
trigger,1
peeves,1
bothered,1
aspect,1
utter,1
presence,1
recognize,1
helps,1
behind,1
value,1
puppet,1
intelligent,1
ranking,1
encounter,1
witty,1
smooth,1
sharp,1
tracking,1
personality,1
size,1
height,1
weight,1
gender,1
sexual,1
films,1
baritone,1
speed,1
provides,1
displayed,1
print,1
begin,1
worse,1
associating,1
persona,1
slow,1
dimwitted,1
slower,1
slumped,1
awe,1
trust,1
holds,1
individual,1
matches,1
reflects,1
hears,1
gilbert,1
nice,1
personal,1
stems,1
added,1
audition,1
oftentimes,1
approches,1
mute,1
tendency,1
instances,1
tone,1
determine,1
separating,1
interpreting,1
relates,1
sharpova,1
nadal,1
seles,1
contro,1
presenters,1
staring,1
howard,1
dean,1
democrat,1
2004,1
mouths,1
muffle,1
federation,1
establishing,1
uniform,1
conduct,1
states,1
happen,1
bauhman,1
criticize,1
excused,1
initial,1
rude,1
stare,1
exactly,1
comparison,1
hallway,1
conversation,1
forth,1
becomes,1
trickiling,1
pro,1
local,1
9yearold,1
occasionally,1
member,1
curious,1
manager,1
dialogue,1
depth,1
vocals,1
animal,1
fight,1
allow,1
benard,1
bragg,1
gruntal,1
pig,1
throat,1
assumed,1
grants,1
uncontrollable,1
blocks,1
process,1
cops,1
controlled,1
judges,1
remove,1
ball,1
theys,1
differently,1
ae,1
supposed,1
environments,1
require,1
gym,1
weights,1
reasonaly,1
news,1
hold,1
possiblility,1
downhill,1
prepared,1
presenting,1
building,1
laughthe,1
cultrual,1
ideas,1
appropriate,1
conntected,1
usage,1
grun,1
context,1
consistently,1
ace,1
pants,1
dan,1
inteprets,1
stand,1
liar,1
nephew,1
blinking,1
bus,1
stared,1
busy,1
classes,1
land,1
o,1
lakes,1
special,1
biking,1
farms,1
summers,1
grow,1
vegetables,1
sell,1
lend,1
midnight,1
roberts,1
ranch,1
lemonade,1
margarine,1
raised,1
shehe,1
cakes,1
poster,1
ben,1
maine,1
reporters,1
reporter,1
announced,1
fancy,1
september,1
clooney,1
fired,1
closes,1
uncertain,1
reopen,1
letting,1
arriving,1
restauarnt,1
postpone,1
reservation,1
requires,1
excited,1
vomiting,1
vomitting,1
nope,1
pathway,1
path,1
superiority,1
vision,1
tyranny,1
greater,1
shown,1
dominance,1
enable,1
institutions,1
medication,1
colleagues,1
development,1
hierarchy,1
audiooral,1
perspective,1
results,1
harsh,1
improved,1
shirts,1
released,1
california,1
imagination,1
wrestling,1
cows,1
obeyed,1
completing,1
cheaper,1
smirk,1
minutes,1
borrow,1
italian,1
suspected,1
wheres,1
ugly,1
daughter,1
interprets,1
french,1
treating,1
awfully,1
mistake,1
tossed,1
whichever,1
painting,1
caviar,1
yuck,1
introduction,1
visited,1
girls,1
term,1
nobody,1
ground,1
pocketed,1
ann,1
chicken,1
fix,1
seattle,1
demi,1
moores,1
husband,1
bruce,1
willis,1
tough,1
learns,1
disgusted,1
chapter,1
costs,1
thousand,1
catch,1
thief,1
paintings,1
escapes,1
jumps,1
jason,1
picture,1
tie,1
dress,1
broccoli,1
vists,1
sandwich,1
c,1
cut,1
helping,1
panic,1
tire,1
aaa,1
dessert,1
pumpkin,1
trader,1
joes,1
juice,1
china,1
prince,1
charless,1
vegetable,1
physics,1
purple,1
cow,1
became,1
depressed,1
forget,1
airline,1
flies,1
meat,1
10,1
threepage,1
tomorrows,1
suns,1
shining,1
56,1
driver,1
rearended,1
liz,1
deathly,1
nauseated,1
threatened,1
punched,1
6,1
resteraunt,1
economic,1
crisis,1
terribly,1
greatechwaech,1
iowans,1
abuse,1
alphabetical,1
actions,1
identities,1
inform,1
under,1
further,1
informs,1
below,1
struggles,1
aware,1
appreciated,1
future,1
minnesota,1
abcs,1
lists,1
voucher,1
please,1
gate,1
sleeping,1
canceled,1
stays,1
grin,1
golf,1
beginning,1
2013,1
nauseous,1
oj,1
grandma,1
liked,1
plate,1
white,1
rafting,1
everytime,1
doorgate,1
hadnt,1
ticket,1
teddy,1
bear,1
guy,1
parked,1
entering,1
responsible,1
breakins,1
rented,1
assaulted,1
threatening,1
bracelet,1
sushi,1
spoiled,1
neighbors,1
written,1
standing,1
somethingsomeone,1
lotion,1
pale,1
choice,1
passes,1
mail,1
nighttime,1
glitter,1
hosts,1
supreme,1
sized,1
locks,1
fourth,1
july,1
gobble,1
formal,1
cheered,1
living,1
worry,1
project,1
located,1
weekends,1
agreed,1
hour,1
north,1
nyc,1
sensed,1
retire,1
junior,1
senior,1
technology,1
worth,1
distance,1
alright,1
transferred,1
rsd,1
vermont,1
guess,1
shouldve,1
sports,1
afterschool,1
activities,1
socialized,1
twelve,1
managed,1
schooled,1
wondering,1
thirteen,1
full,1
tank,1
isntt,1
constantly,1
weathers,1
taking,1
destroyed,1
cooked,1
bawls,1
score,1
2,1
carol,1
lose,1
flipflops,1
couldnt,1
compatible,1
devices,1
cds,1
tapes,1
exist,1
nowadays,1
texas,1
losing,1
sunday,1
stewart,1
interview,1
economy,1
cafeteria,1
serving,1
bush,1
10pm,1
christmas,1
mc,1
donalds,1
snobby,1
cheap,1
mayor,1
bloomberg,1
inches,1
month,1
perfect,1
proficient,1
mothers,1
jane,1
janet,1
moms,1
boys,1
gazpacho,1
conditioning,1
wearing,1
genius,1
lizs,1
suggest,1
fly,1
tickets,1
direct,1
flight,1
miami,1
youll,1
lecture,1
referred,1
resonance,1
vocalizations,1
depend,1
lead,1
misunderstandings,1
subtelny,1
1975,1
notes,1
enrolled,1
ntid,1
observed,1
annotation,1
wondered,1
assumption,1
contemptible,1
facial,1
ruthless,1
presumption,1
maority,1
interpretated,1
wintertime,1
difficulty,1
understood,1
comprehensible,1
misunderstood,1
coughs,1
cause,1
disruption,1
capable,1
anybody,1
praised,1
motor,1
wide,1
annoying,1
accomplishment,1
mmmmmmm,1
humm,1
mmmmmm,1
phrase,1
imagined,1
equal,1
strategy,1
decrease,1
bodys,1
desire,1
miss,1
schools,1
scheduled,1
due,1
categorizations,1
hidden,1
elementary,1
middle,1
oral,1
knowing,1
3,1
comments,1
tense,1
business,1
sigh,1
cheating,1
tactic,1
former,1
several,1
proceeded,1
cheat,1
began,1
whoa,1
misinterpretation,1
criteria,1
speakers,1
effort,1
lecturing,1
discovering,1
narratives,1
halls,1
analysis,1
human,1
coped,1
navigated,1
feedbacks,1
importantly,1
paths,1
basis,1
spoken,1
modalities,1
express,1
expand,1
titled,1
1982,1
hall,1
quoted,1
previous,1
issue,1
desdj,1
volume,1
tactile,1
bricolage,1
organize,1
purpose,1
specfifc,1
teach,1
online,1
enjoys,1
lies,1
thirdly,1
oralism,1
cochlear,1
implant,1
cuedspeech,1
intimidating,1
wordsgroups,1
guidelines,1
researches,1
proven,1
perform,1
journey,1
intervene,1
fault,1
similarly,1
notices,1
regathered,1
overall,1
develop,1
diagnosis,1
references,1
sickness,1
terminal,1
sense,1
including,1
simply,1
rely,1
trained,1
considering,1
quicker,1
locations,1
meetings,1
occurences,1
visits,1
20,1
60,1
involvement,1
involving,1
sharing,1
refer,1
include,1
specialist,1
audiologist,1
specialists,1
thirty,1
influences,1
individuals,1
words,1
childs,1
collaborate,1
embraces,1
calmly,1
doctors,1
heres,1
nagivate,1
implies,1
drug,1
addicts,1
stopping,1
behaving,1
automatic,1
grouped,1
invention,1
deal,1
disappointed,1
resulted,1
emotion,1
cognitive,1
developments,1
power,1
opportunities,1
choices,1
b,1
weeks,1
hundred,1
refuse,1
invitation,1
boldly,1
fuck,1
reallhy,1
scare,1
toppings,1
refused,1
suntan,1
annual,1
remembering,1
lips,1
letters,1
easily,1
quietly,1
falls,1
weekend,1
none,1
bonfires,1
uh,1
punish,1
dismiss,1
fingerspelling,1
confused,1
illegal,1
bustun,1
increased,1
laying,1
skilled,1
large,1
unhappy,1
temperature,1
dropped,1
stopped,1
rowed,1
johnwow,1
sad,1
ohwait,1
