asl_gloss,count
SCL:bent-U-Lperson walking,13
BAD,13
EVERY-YEAR,13
HEAR/LISTEN,13
5perplexed,13
UNDERSTAND,12
IDEA,12
FIRST-IN-LIST,12
BECOME,12
CHARACTER,12
IX-1p-pl-arc,12
DURING/WHILE,12
COLD,12
STOP,12
WATER,12
KEY,12
MONEY,12
WARM,12
PIE,12
PLAN,12
FISHING,12
VP,12
SALE,12
ns-SD,12
MOVE-AWAY,12
fs-RENT,12
SHIRT,12
INTERCOURSEfs-UP,12
WEATHER,12
PAY/BUY,12
REALLYWORK/BUSINESS,12
LIVE,11
DIFFERENT-arc,11
ONLY,11
IX-3p:k,11
COURT,11
AMONG_2,11
fs-EVEN,11
IX-honorific:i,11
COUGH,11
fs-RANGE,11
AGAIN,11
LAUGH,11
LIBRARY,11
(Y)WOW,11
ns-fs-OBAMA,11
(5)WEATHER,11
LAST,11
DCL:crvd-5group go together,11
EXPERT,11
MOW,11
PLAID,11
DRUNK,11
WEDDING,11
GIFT,10
SIGN,10
MAJOR,10
WRITE,10
UP-TO-NOW,10
HEARNOISE,10
ALL,10
MATCH,10
OLD,10
IX-loc:k,10
ALL-NIGHT,10
COMMUNICATE,10
SPEECH/ORAL,10
MISS/ASSUME,10
READY,10
DCL:Mhumming,10
EVERYDAY,10
FUNNY,10
WORD,10
LOUD,10
5exasperation,10
GIRLFRIEND,10
BOX/ROOM,10
YES,10
SCL:crvd-5group go together,10
SHORTS,10
(R)FLOWER,10
ASK,10
BABY,10
THROUGH,9
BELOW_2,9
WORLD,9
ALLOW,9
SECOND-IN-LIST,9
BEFORE_2,9
LIST-ORDER,9
alt.LOOK-OVER,9
5hesitation,9
HIGH,9
INHALE,9
FINEwg,9
SEND,9
SITUATION,9
SEEM,9
LOOK:i,9
BETTER,9
HOW-MANY,9
DINNER,9
LOUSY,9
FAIL,9
MOTHERwg,9
CONTINUE,9
(5)CRASH,9
LETTER/MAIL,9
DANCE,9
SHOE,9
TOGETHER/GO-STEADY,9
BQQ,9
POSS-3p-pl-arc,8
LANGUAGE,8
FOCUS/NARROW,8
alt.SEE,8
PROGRESS,8
HOPE,8
FAST_3,8
AROUND,8
(B-L)BECAUSE,8
VARY,8
COME,8
fs-DISORDER,8
NORMAL,8
KNOW-THAT,8
NEXT-TO,8
OUT,8
THREE,8
5I don't know,8
DO,8
ALL_2,8
PING-PONG/TENNIS,8
VOTE,8
THING,8
ATTENTION-WAVE,8
TWENTY,8
SEVEN,8
SIX,8
GRAB-CHANCE,8
GRADUATE,8
THRILL/WHAT'S-UP,8
NEXT-WEEK,8
CLOSE-DOOR,8
CAT,8
VEGETABLE,8
INVITE/HIRE,8
i:SAME-1p,8
fs-LOX,8
FLOWER,8
ALL-DAY,8
TIRED,8
ns-fs-DONNA,8
HAIR_2DYE,8
SURF-INTERNET,8
BLUEfs-BERRY,8
HOSPITAL,8
ANYTHING,8
WINDOW,8
STAY_2,8
(25)WHYNOT,8
fs-SENSORY,7
5you know,7
LECTURE,7
TRANSFER,7
COLLEGE,7
ALONE,7
MISMATCH,7
SPECIAL/EXCEPT,7
BPCL:1voice loop from mouth to ear,7
LONG-LIST,7
GONE,7
TELL:i,7
APPLAUSE,7
(5)WOMAN,7
SIT,7
RUN,7
5umm,7
WARN,7
LETTER/MAIL_2,7
PICK/CHOOSE,7
ANGRY,7
fs-AT,7
ns-fs-BILL,7
BROTHER,7
INTRODUCE,7
HUSBAND,7
LIE,7
UNCLE,7
HARD,7
MILK,7
DOLLAR_2,7
ORDER,7
BOSS,7
TAKE,7
DRY-CEREAL,7
PUT-AWAY,7
TOGETHER/GO-STEADY_2,7
DCL:crvd-Bsmall puppies,7
DYE,7
HAIR,7
LAPTOP,7
TYPE,7
LATE,7
BIRTHDAY_3,7
LIE-DOWN,7
(5)ACCIDENT,7
BIRTHDAY,7
ns-FRANCE,7
ROWING,7
KING,7
EARLY_2,7
TOOTH/GLASS,7
IMPORTANT,6
SUPERIOR,6
GROW,6
SLOW,6
5surprised,6
ns-NEW-YORK,6
ANYWAY/NOT-MATTER,6
CONCEPT,6
(5)SOCIAL/INTERACT,6
(nd-3)THIRD-IN-LIST,6
QUALITY,6
FAST,6
SOMETIMES,6
WONDERFUL,6
ANYONE,6
LATER_2,6
ALMOST,6
POINT,6
ABOVE,6
IX-loc-pl-arc,6
NOT-MIND,6
FINE_2,6
SERVICE,6
NOISERUMBLE,6
REQUIRE,6
MUSIC,6
ICL:F/9flip pages,6
FINALLY_2,6
PASS,6
LEAVE,6
JOB,6
fs-LOTTERY,6
FISH,6
HONEST,6
UPSET,6
COOKIE,6
NONE/NOTHINGONE,6
AFRAID,6
BRING,6
UMBRELLA,6
ROOMMATE,6
RED,6
QUIZ,6
BUTTER,6
fs-TRUCK,6
VEGETABLEAGENT,6
DCL:5hair dyed all over,6
TV,6
HEADBAND,6
GRASS,6
BLUEBERRY,6
BBQ,6
IX-pl-2:i/j,6
WIDE,6
STARBOMB,6
SKI,6
FACESAME,6
fs-PUPPIES,6
BALD,6
PASS-OUT_2,6
SUNBATHE,6
fs-BRIDE,6
fs-GROOM,6
ns-fs-JESSICA,6
GIRLCORRECT,6
BLACK,6
USE,5
EXPRESS,5
GESTURE,5
fs-AUDIO,5
fs-VOCAL,5
DCL:bent-1this pathway,5
POLITICS,5
fs-SO,5
ADULT-TALL,5
5looking for words,5
LOOK-UP,5
CLEAR,5
SHORT-HEIGHT,5
fs-NASAL,5
THAN,5
fs-BY,5
(A)SELF-1p,5
ANY,5
PLUS,5
EQUAL,5
FAMOUS,5
DEEP,5
LESS,5
BETWEEN/SHARE,5
COMPETITION,5
LAUGH-HARD,5
PERMIT,5
fs-EXCESS,5
USE-SIGN-LANGUAGE,5
5out of my control,5
LIST,5
POLITE,5
PAPER,5
THEN,5
DROP,5
SAFE,5
NOTICE,5
BRAVE/RECOVER,5
PUT,5
RANGE,5
5you see,5
EASY,5
ns-ROCHESTER,5
HIT,5
FIRST,5
TABLE,5
ns-CHICAGO,5
READ_2,5
WAIT,5
ns-fs-SUE,5
EXPENSIVE_2,5
SUNSHINE,5
TASTE,5
IMPOSSIBLE,5
FOR-FOR,5
CROWDED,5
DCLround flat,5
(crvd-5)POSS-1p,5
SWEETHEART,5
j:GIVE:i,5
EVERY-MONTH/RENT,5
BIG_2,5
REMEMBER,5
LOOK-FORWARD,5
FATHERwg,5
SCL:3person walking,5
fs-BONFIRE,5
IX-1p-pl-2:i,5
A-OK,5
(1)SEND,5
FIREWORKS_2,5
HEADBAND_2,5
BUOY_2,5
FIREWORKS,5
TELL:j,5
fs-CEREAL,5
MAGAZINE,5
(D)DOCTOR,5
TURKEY,5
BELIEVE,5
fs-MENTOR,5
ns-UTAH,5
ANALYZE_3,4
5let's see,4
ADD-TO,4
ROAD,4
SYSTEM,4
(nd-2)FIRST-IN-LIST,4
THIS,4
fs-TESTIMONIES,4
INSTITUTE,4
CLEVER,4
IX-loc:l,4
MESSED-UP,4
HEAVY,4
AGENT,4
AGREE,4
CHANGE,4
SEARCH-FOR,4
MINUTE,4
fs-AUDIOVOCAL,4
HEARRUMBLE,4
HELP,4
THIRTY_2,4
DEVELOP,4
TELL-1p,4
5that's the way it is,4
TRY,4
VOICE_2,4
(1)RANGE,4
NOTHING,4
AVERAGE/RANGE,4
SICK-OF,4
THANK-YOU,4
5dismissive gesture,4
ANSWER,4
SHH,4
APPLY,4
IMAGINE,4
VERY,4
BPCL:bent-Bgradually increasing voice,4
FINISH-shake,4
VOLUNTEER/SHIRT,4
OVER/AFTER,4
MUTE,4
fs-LOCKERBOX/ROOM,4
5not a big deal,4
WORK-OUT,4
WONDER,4
TEACH,4
CALL-BY-PHONE,4
IX-loc-line,4
SKILL,4
REGULAR,4
THINKHOPE,4
BETWEEN/SHARE-arc,4
SCL:crvd-Vhopping in a new group,4
fs-TOO,4
fs-CODA,4
POSS-3p:j,4
DCL:5emit waste,4
alt.SCREAM,4
DISGUST,4
OLDFIFTEEN,4
TELL,4
(crvd-5)BASKETBALL,4
DCL:1point and shoot,4
DCL:crvd-5reach into bucket of popcorn,4
NOTMUST,4
FOOTBALL,4
Scheering,4
MARRY,4
FIND/FIND-OUTOUT,4
WANT_3,4
ns-FLA,4
i:HELP-1p,4
NUT,4
CITY/COMMUNITY_3,4
BRACELET,4
DELICIOUS,4
ACTAGENT,4
SON,4
ONEHUNDRED,4
PAPER-CHECK/CARD,4
SLEEP,4
fs-DAY,4
SUCCEED,4
TAKE-BREAK,4
ICE-CREAM,4
DRINK,4
HUNGRY/WISH,4
POSS-1p-pl,4
GAS,4
fs-CREAMfs-CHEESE,4
fs-BAGEL,4
NEAR,4
RELATIONSHIP-OFF,4
COMPARE,4
fs-LAKE,4
BOYSCOUT,4
TREE,4
ALARM,4
5no more,4
ns-fs-MAC,4
MORNING,4
ASL,4
TEXTING_3,4
MONSTER,4
TAN,4
WATERDCL:crvd-Lwater tubing,4
(Y)DRINK,4
CARE,4
EMPTY/EARLYMOST,4
WATERDCL:L-Xtube skipping on water,4
HAIRDYE,4
MAKEREALLY,4
i:GIVE-indef,4
NOMORE,4
EVERYONE,4
DIRECT,4
SCL:1person,4
WATCH-TV,4
WATERTUBING,4
SCL:3person passed out,4
ADVISE/INFLUENCE,4
NOWNIGHT,4
BUTTER_2,4
i:TELL-1p,4
NONE,4
(1)GUILTY,4
INFORM:i,4
LEARNAGENT,4
ANSWERAGENT,4
fs-HIT,4
GRIEF,4
SUGGEST,3
CURRENT-TOPIC,3
(5)FIRST-IN-LIST,3
THROUGH_2,3
(nd-2)FIRST-AND-SECOND-IN-LIST,3
fs-SOUND,3
ARTICLE,3
fs-TACTILE,3
FULL,3
MOVING-ON-TO-NEXT-TOPIC,3
5resignation,3
fs-HEGEMONY,3
ED,3
alt.USE-SIGN-LANGUAGE,3
MIND,3
IX-3p:l,3
fs-CAREER,3
(3)LISTEN,3
MENTION,3
TRAIN,3
TIME-PERIOD,3
ATTEMPT,3
fs-PITCHED,3
LOOK-AROUND,3
A-LEVEL-BELOW,3
ns-fs-BAUMAN,3
ROLE,3
ANALYZE,3
fs-LIT,3
PET-PEEVE,3
(R)RESEARCH,3
5pause,3
LITTLE-BIT,3
SPREAD,3
BOTHER,3
QUOTE/TOPIC_2,3
LINGUISTICS,3
SOCIAL/INTERACT,3
TAKE-NOTES,3
STAND,3
5set,3
5trepidation,3
fs-GRUNTS,3
5reassure,3
OF-COURSE,3
THAT:j,3
LOOK-BY-EYE,3
SCL:B-Lreport card,3
DCL:baby-Owriting on the test,3
SICK/SILLY,3
SUSPECT,3
POP-UP,3
LONG,3
(P)PROFESSION,3
SECOND-IN-LIST_4,3
BPCL:bent-Bgoing over natural voice range,3
RUN-MACHINE,3
ns-fs-IOWA,3
SO-SO,3
HALL,3
DCL:fanned-Ogrumbling,3
i:TURN:j,3
GIRL,3
fs-CLUB,3
DELIBERATE,3
FIGHT,3
KNOW-NOTHING,3
ICL:Sswinging tennis raquet,3
EACH,3
5forget it,3
AGAINST,3
A,3
ABOVE_3,3
fs-NOISE,3
N,3
MAJOR:j,3
SAME-OLD,3
DCL:flat-Orip paper,3
ILLEGAL,3
FLAT/FLOOR,3
DCL:F/9peel styrofoam cup,3
DCL:Sclanking things,3
PISS-OFF,3
LEAVE-THERE,3
DCL:crvd-Babove the voice range,3
DCL:5extremely embarrassed,3
CARRY,3
ns-GALLAUDET,3
fs-BUBBLES,3
SELF-3p:j,3
fs-FIELD,3
BCL:Snudge neighbor,3
RULE,3
FROM-NOW-ON,3
SOUTH,3
j:MOVE:i,3
ns-RIT,3
OFF,3
5oh well,3
OLDAGE-SIXHALF,3
NEXT,3
ALLERGY,3
REPUBLICAN,3
NAB,3
5hands off,3
fs-SPINACH,3
VERY-FAST,3
ORANGE,3
COOK/KITCHEN,3
LAST-YEAR,3
WALK,3
(5)POSS-1p,3
TROPHY_2,3
MONDAY,3
CONTACT,3
ns-fs-FEDEX,3
SPAGHETTI_2,3
TWO_2ZEROTHIRTEEN,3
BOOK-PAGE,3
GET-TICKET,3
(L-X)INTERESTING,3
5hey,3
HANDSOME/ns-HAWAII_2,3
FIVE,3
ns-fs-PHIL,3
ns-fs-PETE,3
TAPE-RECORDING,3
ns-fs-RICK-PERRY,3
ns-fs-JIM,3
ns-fs-JOE,3
ns-MCDONALD,3
RESTAURANT,3
AIRPLANE,3
TAKE-continuative,3
SEMESTER,3
fs-POP,3
FOLLOW,3
REMIND:i,3
ns-fs-ASIA,3
SEND/MAIL,3
fs-FUN,3
LIGHT,3
GLASSES_2,3
NEAT,3
FIRED,3
1p-INFORM:i,3
PRINCIPAL,3
HURRY,3
BLUE,3
DEPART:j,3
ONE-MONTH,3
BOMB,3
GET-UP,3
fs-MALL,3
APPLE,3
FUCK,3
(4)STRIPES,3
ns-fs-BU,3
REMIND-2p,3
COLOR,3
fs-SUN,3
SCL:1person approaching,3
KOWTOW,3
(S)BASEBALL,3
GROUP/TOGETHER-pl,3
MEMORIZE,3
5frustration,3
SERIOUS,3
YESTERDAY,3
INTERVIEW,3
DOUBT,3
SPEND,3
SUMMER,3
SIT-continuative,3
i:GIFT:j,3
NIGHT-pl-arc,3
ns-fs-JAMES,3
BIG_5,3
fs-CARE,3
ns-PHILADELPHIA,3
LAST-WEEK,3
fs-SMASHED,3
fs-COLLIDED,3
RESEARCH,3
SAME-LIST,3
SCL:1mentor coming in,3
5focus,3
(nd-V/2)LIST-ORDER-MIDDLE,3
MEETING,3
fs-MPH,3
fs-HUMAN,2
5emphasis,2
MINOR,2
IX-honorific:j,2
SET-UP:i,2
SET-UP:j,2
EXPAND,2
SECOND,2
MOST,2
NINETEEN,2
TALK-OVER,2
THINKMEAN,2
DCL:Bpathway of sign language,2
DCL:Bpathway of audiovocal,2
PRACTICE,2
A-LEVEL-ABOVE,2
CONFRONT,2
fs-MUTE,2
5not know what to do,2
FAST_2,2
"5so, all set",2
POUND/WEIGH,2
BCL:crvd-5swashbuckler like,2
STRONG,2
fs-OWN,2
fs-TEMPO,2
BPCL:4voice identity,2
TOTAL_2,2
EXACT,2
HISTORY,2
(A)PLACE,2
OCCASIONALLY,2
TOTAL,2
fs-CLASS,2
LOOK-recip,2
INTERPRETAGENT,2
ACCOMMODATE,2
fs-ORIENTED,2
POWER,2
REMIND-1p,2
fs-LOOP,2
fs-QUALITY,2
APPLY_2,2
QUESTION,2
fs-DISORDERED,2
SCL:Vperson levitating,2
fs-SYNTAX,2
MISUNDERSTAND,2
CHECKfs-LIST,2
WRITE_2,2
ANYTIME,2
LCL:Bthis way,2
fs-INTELLIGIBLE,2
RANGE/SPAN,2
fs-TRY,2
BEST,2
fs-OH,2
fs-PROCTOR,2
DOpart:indef,2
alt.VOICE,2
ns-fs-SAT,2
HEARINGPERSON,2
NEXT-TO_2,2
FORMERLY,2
THINKSHOCK,2
STRUGGLE,2
BACKWARD_2,2
WHATACTION,2
PLAYAGENT,2
BPCL:1going over natural voice range,2
ns-fs-DEAN,2
fs-CAUCUS,2
INTERNATIONAL,2
THINK-OVER,2
RECORD,2
FREQUENTLY,2
COUNTRY,2
EXCHANGE,2
fs-G,2
DCL:fanned-Othroat grumble,2
FLAT/LEVEL,2
ns-nat-AUSTRALIA,2
OLDNINE,2
DELETE,2
DCL:V/2walking around the hall,2
MANAGE/CONTROLAGENT,2
ANIMAL,2
GENERAL,2
DCL:fanned-flat-Othroat,2
SOMEONE,2
DCL:Sheavy lifting,2
END,2
THIRD-PLACE_2,2
ns-fs-GREATECHWAECH,2
B,2
fs-OR,2
INFORM-ALL,2
IX-3p:o,2
fs-NOISY,2
NARROW-STREET,2
GROUP/TOGETHER:i,2
GROUP/TOGETHER:j,2
(F)NONE/NOTHING,2
BODY,2
ENVIRONMENT,2
ANALYZE_2,2
DCL:bent-B-Lclose envelope,2
GOOD,2
VIDEOTAPE,2
NINETEEN_2NINETY-NINE,2
PROBLEM,2
VOICE-RANGE_2,2
fs-BURP,2
BURP,2
DCL:flat-Orip paper slowly,2
DCL:Ccup,2
DCL:5-C-Lnails on a chalkboard,2
fs-STATUS,2
DCL:Aopen drawer,2
DCL:flat-Orip paper fast,2
fs-SANCTUARY,2
fs-WASTE,2
5shocked,2
GIVE-UPfs-UP,2
fs-WAS,2
DCL:5cover up both noises,2
DATE/DESSERT,2
AMONG,2
NATURAL,2
fs-PUBLIC,2
ANYMORE,2
SCARE,2
CARE_2,2
CHURCH,2
YOUNG,2
DCL:5emit waste loudly,2
POPCORN,2
SELF:i,2
fs-PISS,2
IX-3p-pl-circle,2
BCL:crvd-5holding football,2
CHAT:j,2
BCL:Cgrab Bible,2
DCL:crvd-Bcurve of the toilet bowl,2
FREE,2
OWN,2
THINKLONG-LIST,2
DCL:1point to popcorn bucket,2
PLACE:i,2
PLACE:j,2
1no,2
STRUGGLE-continuative,2
DCL:5person growing up,2
AGE-SIXHALF,2
5well,2
(crvd-V)MOVE,2
DORM,2
SELF-1p,2
ns-NEW-YORK_2,2
LONGMOST,2
ns-IBM,2
OVER/AFTERSCHOOL,2
TWELVEHALF,2
SIXHALF,2
MOVE-AROUND,2
LOSE,2
TEAM,2
ON-TIME,2
MONEY_2,2
SHEET-CAKE,2
TIMEDCLcircular object,2
THUMB-IX-3p:i,2
STEAL,2
MOUSE/FICTION,2
CHASE,2
2p-GIVE-1p,2
COMPUTER_5,2
5panic,2
FLAT-TIRE_3,2
ns-fs-HARRY,2
COW,2
CLOSE-GATE,2
CHOOSE,2
UP,2
NEGLECT,2
DO-IT,2
BAWL-OUT:i,2
INNOCENT,2
KEEP,2
alt.EAT,2
ns-AA,2
STUCK,2
fs-MARATHON,2
EIGHT,2
NINE,2
(alt-G/bent-L)POSS-1p,2
TEN,2
ns-fs-SARAH-JESSICA-PARKER,2
ns-fs-SARAH-PALIN,2
FRIDAY,2
SPRING,2
COAT,2
EATMORNING,2
HURRICANE,2
BACK_2,2
ns-fs-NETFLIX,2
fs-DVD,2
STOPLIGHT,2
(3)ACCIDENT,2
ns-fs-LIZ,2
ns-fs-MITT-ROMNEY,2
DISTRIBUTE,2
NUTBUTTER,2
ns-fs-BETH,2
LOSE-COMPETITIONPCL:V/2many games,2
ENOUGH,2
fs-SUSHI,2
ns-fs-NEWTON,2
BREAKENTER,2
ns-BROOKLINE,2
DANGER,2
APT,2
ns-fs-JEN,2
HAMBURGER,2
ns-fs-ALEC-BALDWIN,2
ECONOMIC,2
ns-fs-AMY,2
fs-KEY,2
SCL:1John and Mary walk together,2
ONE-DOLLAR,2
INSURANCE/INFECTION,2
EMERGENCY,2
NOTHING-AT-ALL,2
EXHAUST,2
BURN,2
FRESHMAN,2
TRADITION,2
i:GIFT-1p,2
LOOK-DOWN,2
COLLAR,2
IX-1p-pl,2
BED,2
POSS-3p:i/j,2
ICL:Xspray silly string,2
ADDICTED,2
SUMMON,2
TROUBLE,2
BEAT_2,2
ns-INDIA,2
SUPPORT,2
fs-IPOD,2
TIE_2FISHING,2
MAKE-IT,2
LIGHT-FLASH,2
fs-PC,2
EMPTY/EARLY,2
BACK,2
OVERSLEEP,2
CHECK,2
BILL/OWE,2
GARAGE/SUBMARINE,2
TWICE,2
WRESTLE,2
(X-over-thumb)CELEBRATE,2
THINKBURST,2
(bent-1)POSS-1p,2
DCL:crvd-5clouds moving in,2
FEW/CLOSE,2
fs-OCEAN,2
DCL:Cgroup go together,2
alt.INVITE/HIRE,2
RESUME,2
BALANCE,2
DECORATE,2
STAR,2
BAKING-SPRINKLES,2
LAZY,2
LICENSE,2
ns-PUERTO-RICO,2
KICK-OFF,2
fs-STORM,2
ns-fs-BARACK-OBAMA,2
i:GIVE-1p,2
fs-SUNBURN,2
BAWL-OUT,2
ZOOM,2
FLOW,2
FRESH,2
EACHONE-pl-arc,2
SHUCKS,2
fs-HORROR,2
COMPUTER,2
2p-ASK:i,2
TUBING,2
WATERDCLround flat,2
SCL:U-Lperson passed out,2
SUNSHINE_2,2
BOTH,2
CELEBRATE,2
CRASH,2
DCL:U-Lhorse running,2
EXPENSIVE,2
j:GIVE-indef,2
fs-EXAM,2
EASYMOST,2
OPPOSITE,2
PARTY-HARD,2
SCL:crvd-Vhorse galloping,2
HATE,2
IX-3p-honorific:i,2
ADVISE/INFLUENCEAGENT,2
NOWAFTERNOON,2
APPOINTMENT,2
NOWAFTERNOON_2,2
PASTALL-NIGHT,2
NOWMORNING,2
MORMON_2,2
SCL:5-Cbig house,2
SIX_2ZERO_3,2
FIVESIX_2,2
FLY-BY-PLANE,2
"5ok, hey",2
CARAGENT,2
fs-GLOBE,2
THINKMARRY,2
1p-TELL:i,2
SOUP,2
GOOD/THANK-YOUNIGHT,2
CHEAPMOST,2
fs-ELECTION,2
SCL:V/2two of them go together,2
i:INFORM-1p,2
LEND,2
ns-IRELAND,2
THAT:i,2
alt.LIE,2
ns-fs-PAUL,2
SMALL-AMOUNT,2
INCREASE,2
ns-fs-SALLY,2
(5)NOT,2
ns-fs-BOSTON,2
IX-3p-pl-2,2
fs-TAX,2
fs-TRIP,2
GUITAR,2
fs-REOPEN,2
NOW-WEEK,2
TRACK-THUMB,2
TRACK-IX,2
TRACK-MIDDLE,2
TRACK-RING,2
fs-CANCER,2
SCREEN/FILTER,2
FOUR,2
ASK_2,2
ns-TENN,2
INTERRUPT,2
ASK_2-3p-pl-arc,2
fs-LINK,2
NEGATIVE,2
INCLUDE/INVOLVE-1p,2
CITY/COMMUNITY,2
fs-MODEL,2
OPPORTUNITY,2
fs-INTERVENTION,2
INTERRUPT:i,2
SPECIALTYAGENT,2
AUDIOLOGYAGENT,2
NURSE,2
SOCIAL-WORK,2
fs-BE,2
INFORMSUBLIMINAL-INFLUENCE,2
alt.UNDERSTAND,1
(1)GENERATIONS-AGO,1
ns-fs-EDWARD,1
fs-HALL,1
FEEDBACK_3,1
(B)NEXT-TOPIC,1
SEPARATE,1
ns-AMERICA,1
EIGHTY-TWO,1
fs-ISSUE,1
ns-fs-DESDJ,1
VOL,1
NUMBER,1
TOTAL_3,1
fs-BRICOLAGE,1
DCL:5gathering information,1
ORGANIZE,1
THIS_2,1
SPECIFIC,1
DCL:Bpathway of orientation,1
PARALLEL,1
fs-VISION,1
fs-TYRANNY,1
DCL:flat-Oput it collectively,1
fs-SOCIAL,1
MEDICINE,1
DCL:bent-1switch to this pathway,1
fs-SENSES,1
fs-SENSE,1
UNDER,1
BECAUSE,1
GRADUAL-IMPROVE,1
DCL:bent-1length of time,1
fs-IMPLY,1
BEHIND,1
fs-VALUE,1
fs-VENTRILOQUISM,1
fs-WITTY,1
SMOOTH,1
PERSONALITY,1
fs-SIZE,1
HEIGHT_2,1
fs-RACE,1
fs-GENDER,1
fs-SEXUAL,1
fs-BARITONE,1
STICK-ON-SURFACE,1
STICK-ON-THROAT,1
fs-PRINT,1
DCL:fanned-flat-Ovoice identity,1
(U-L)BUILD,1
WORSE,1
Clet's see,1
fs-PERSONA,1
fs-DIMWITTED,1
BEFORE,1
DECLINE_2,1
CONFIDENT,1
SCL:B-Ldeaf person,1
BELONG,1
SELF-3p-pl-arc,1
INDIVIDUAL-pl,1
(R)REFLECT,1
ns-fs-GILBERT,1
HANG-UP-PHONE,1
SCL:1person coming,1
(R)PLACE,1
