asl_gloss,count,raised,lowered,slightly lowered,slightly raised,raised-furrowed,further raised,further lowered,right raised/left furrowed,left raised/right furrowed,left raised/right lowered,further raised-furrowed
REALLY,73,51,27,22,15,38,24,11,1,0,0,0
VOICE,73,50,23,9,21,54,17,9,1,0,0,0
ns-fs-BOB,73,70,29,14,30,13,9,12,0,0,0,0
IN,72,40,29,22,19,41,20,7,0,0,0,0
WHERE,71,36,47,23,17,12,12,5,0,0,0,0
WHY,71,53,34,36,22,11,8,17,1,1,0,0
PEOPLE,70,36,23,18,16,55,29,5,0,0,0,0
MAKE,68,37,29,11,26,47,42,8,0,0,0,0
HOME,67,49,30,17,20,19,19,4,0,0,0,0
GROUP/TOGETHER,66,36,17,17,16,19,13,6,0,0,0,0
RAIN,65,47,22,22,7,9,10,6,0,0,0,0
GO,64,43,27,22,16,13,8,8,0,0,0,0
LIKE,63,28,27,21,13,12,7,14,0,0,0,0
BUY,60,35,26,25,11,8,5,8,0,0,0,0
MOTHERFATHER,58,30,30,30,36,24,18,16,0,0,0,0
IX-3p-pl-arc,58,50,19,21,18,35,15,5,0,1,1,0
MEAN,58,26,19,21,23,35,14,6,0,0,0,0
WHAT,57,26,33,16,10,42,8,20,0,0,0,1
LOOK,55,41,21,17,30,25,14,7,0,0,0,0
FATHER,55,46,25,20,20,8,15,3,0,0,0,0
TO/UNTIL,54,37,21,14,13,18,6,11,0,0,0,0
(P)PARTY,54,42,21,15,17,5,9,7,1,0,0,0
SCHOOL,53,44,23,15,13,7,4,1,0,0,0,0
TEND,52,37,18,20,24,4,9,2,0,0,0,0
PASTNIGHT,52,44,20,16,20,6,2,8,0,0,0,0
REALLYWORK,52,54,28,12,24,14,12,2,0,0,0,0
READ,50,33,14,13,9,3,7,4,0,0,0,0
WANTNEG,50,24,22,32,24,12,12,12,0,2,0,0
BOOK,48,36,14,13,8,3,6,7,0,0,0,0
DEPART,47,31,14,10,18,5,6,4,1,0,0,0
NOISE,47,11,6,0,1,60,33,7,0,0,0,0
GOOD/THANK-YOU,46,33,16,16,12,7,10,15,0,0,0,0
DO-DO,46,30,27,13,16,12,6,17,0,1,0,0
BUT,43,34,21,18,13,16,18,11,2,0,0,0
KNOW,43,26,17,10,10,12,8,5,0,0,0,0
TIME,43,24,29,17,15,6,11,2,0,0,0,0
DIFFERENT,42,19,7,12,12,27,9,3,0,0,0,0
CAN,42,30,15,21,17,24,17,1,0,0,0,0
IX-loc:j,42,32,14,10,18,19,13,2,0,0,0,0
OH-I-SEE,41,27,15,8,16,32,18,8,0,0,0,0
fs-OF,41,14,7,7,6,39,19,3,0,0,0,0
HOW,40,18,13,8,11,22,9,1,0,0,0,0
NICE/CLEAN,40,31,21,9,18,5,9,5,0,1,0,0
KISS-FIST,40,38,12,12,16,1,3,0,0,0,0,0
PLAY,38,27,10,10,18,9,6,4,0,0,0,0
TOMORROW,38,25,9,12,2,8,5,3,0,0,0,0
SAME,37,26,8,15,19,23,15,1,0,0,0,0
START,37,26,24,13,9,8,2,9,0,0,0,0
CANNOT,36,23,14,10,17,16,4,4,0,0,0,0
SO,36,15,17,8,12,17,4,3,0,0,0,0
fs-LATE,36,22,18,11,9,9,15,2,0,0,0,0
EXPERIENCE,35,9,9,6,10,24,11,5,0,0,0,0
RECENT-PAST,35,34,18,16,10,2,2,11,0,0,0,0
PROCEED,35,32,15,10,14,11,8,3,0,0,0,0
SNOW,35,32,12,4,1,3,10,2,0,0,0,0
POSS-2p,34,24,14,13,14,9,4,6,0,0,0,0
CULTURE,34,20,11,3,6,27,12,1,0,0,0,0
AND,34,30,8,4,24,19,13,2,1,0,0,0
BREAK,34,29,14,14,20,5,5,7,1,2,0,0
NOT-YET,34,22,10,7,10,3,2,2,0,0,0,0
MANY,34,22,8,13,7,14,6,1,0,0,0,0
WOW,33,29,15,13,15,15,4,1,2,0,0,0
TAKE-UP,33,31,12,12,17,8,3,2,0,0,0,0
DRIVE,33,20,12,12,17,4,3,0,1,0,0,0
HOMEWORK,32,23,9,16,12,8,6,6,0,0,0,0
FAMILY,32,27,5,10,16,7,5,1,0,0,0,0
SISTER,31,18,17,6,14,6,4,4,0,0,0,0
PERSON,31,20,12,6,8,25,6,3,0,0,0,0
HEAR,30,22,8,4,10,31,12,5,1,0,0,0
CANCEL/CRITICIZE,30,22,13,7,5,2,10,1,0,0,0,0
WANT_2,30,21,7,18,10,2,3,1,1,0,0,0
ns-BOSTON,30,19,17,9,8,5,9,3,2,0,0,0
BREAK-DOWN,30,28,10,7,5,4,2,2,0,0,0,0
EAT,29,20,10,15,8,5,9,6,0,0,0,0
MAYBE,29,29,6,15,9,5,9,4,1,0,0,0
fs-BEACH,29,25,10,16,23,4,4,2,0,0,0,0
VISUALIZE,28,15,9,5,14,19,6,2,0,0,0,0
KNOWNEG,28,22,4,6,6,10,6,2,0,0,0,0
TALK,28,18,11,4,10,15,6,3,0,0,0,0
WANT,28,19,6,5,11,2,2,2,0,0,0,0
PINEAPPLE,27,6,15,16,2,3,4,3,0,0,0,0
WOW/AWFUL,27,17,8,4,11,12,7,5,0,0,0,0
THINK,27,19,8,5,13,14,10,3,0,0,1,0
CLASS_2,27,21,14,7,11,4,1,5,1,0,0,0
LOVE,27,24,8,11,15,0,3,4,0,0,0,0
TALKwg,27,15,10,6,5,24,4,1,0,0,0,0
IX-3p-pl-2:i/j,26,20,8,10,19,5,4,0,1,0,0,0
ONE,26,28,10,15,10,8,4,3,1,0,0,0
SURPRISE,26,21,13,8,12,6,7,3,0,0,0,0
REFUSE,26,20,13,20,13,5,9,3,0,0,1,0
ON,26,16,8,3,4,15,15,2,0,0,0,0
FROM,26,10,16,7,6,10,12,4,0,0,0,1
SICK,26,21,11,13,6,2,2,10,0,0,0,0
FINE,25,18,12,7,10,8,6,2,0,0,0,0
ABOUT,25,14,10,4,11,15,6,1,0,0,0,0
5wow,25,14,18,9,3,16,6,2,0,0,0,0
SELL,25,14,7,5,7,2,5,0,0,0,0,0
FIND/FIND-OUT,24,16,15,9,5,2,2,1,1,0,0,0
KIND,24,14,9,2,2,15,10,4,0,0,0,0
USE_2,24,20,9,14,12,6,3,5,0,0,0,0
BICYCLE,24,15,10,9,10,1,3,1,0,0,0,0
CLASS_2BOX/ROOM,24,24,16,8,10,0,0,0,0,0,0,0
STUDY,23,9,5,11,7,9,3,5,0,0,0,0
HAPPEN,23,19,7,5,6,10,7,1,0,0,0,0
LOOK:j,23,18,10,9,6,31,14,13,3,0,0,0
INTERPRET,23,14,3,4,7,7,5,3,0,0,0,0
ENTER,23,19,9,5,7,26,15,1,0,0,0,0
DECIDE,23,17,10,5,8,3,5,1,0,0,0,0
SHOW,23,13,0,7,4,24,17,0,0,0,0,0
KID,23,14,10,9,17,3,10,5,0,0,0,0
NAME,23,27,9,11,10,4,4,2,1,0,0,0
STUDENT,23,26,9,9,7,3,0,1,0,0,0,0
(5)MAN,23,21,10,10,11,1,4,8,0,0,0,0
OTHER,22,11,4,9,7,12,7,1,0,0,0,0
SET-UP,22,14,5,2,5,16,6,1,0,0,0,1
SEE,22,16,10,6,10,10,6,4,0,0,0,0
MORE,22,6,4,3,8,19,11,1,0,0,0,0
A-LOT,22,17,15,4,1,12,5,5,0,0,0,0
JOIN,22,14,9,5,7,6,4,2,1,0,0,0
EATNIGHT,22,18,18,6,10,2,0,2,0,0,0,0
VOMIT/HATE,22,10,10,6,12,5,2,10,0,0,0,0
SOMETHING/ONE,22,10,13,7,4,10,4,6,1,0,0,0
(F)BELONG,22,9,10,5,3,18,5,5,0,0,0,0
GUARANTEE,21,19,9,5,11,3,2,3,0,0,0,0
HERE,21,13,7,13,4,8,7,3,0,0,0,0
NIGHT,21,13,8,8,4,7,13,2,0,0,0,0
PIZZA_4,21,20,11,9,8,7,3,1,0,0,0,0
OFTEN,21,14,8,12,11,12,4,4,0,0,0,0
CHEESE,20,3,8,8,1,3,2,1,0,0,0,0
FAVORITE/PREFER,20,19,12,16,12,2,2,1,0,0,0,0
TOILET,20,9,2,1,0,31,18,0,0,0,0,0
MANAGE/CONTROL,20,10,3,2,0,20,5,1,0,0,0,0
HEARING,20,13,2,9,5,12,11,2,0,0,0,0
ACCEPT,20,7,6,4,8,13,7,2,0,0,0,0
STAY,20,12,7,11,4,4,2,1,1,0,0,0
TRIP,20,12,7,9,9,1,3,1,0,0,0,0
TWO,20,10,7,9,11,8,2,1,1,0,0,0
fs-CREAM,19,3,6,8,1,3,2,2,0,0,0,0
HORSE,19,12,4,6,6,11,12,2,0,0,0,0
MOVIE,19,16,3,1,5,8,6,3,0,0,0,0
FEEL,19,12,6,5,5,13,0,2,0,0,1,0
alt.FIRE,19,10,4,3,11,0,3,2,0,0,0,0
(K)KITCHEN,19,12,4,0,8,4,6,2,0,1,0,0
NEW,19,12,3,8,9,1,1,0,0,0,0,0
GET,19,14,11,7,9,7,2,5,0,0,0,0
LEARN,18,7,3,4,0,15,13,1,0,0,1,0
LONG-AGO,18,19,5,6,4,8,3,1,0,0,0,0
EACHONE,18,16,6,10,14,0,2,2,0,2,0,0
DRESS/CLOTHES,18,17,9,2,6,3,6,0,0,0,0,0
DOG_2,18,13,6,5,9,3,1,5,0,0,0,0
ALSO,18,12,7,6,3,13,3,3,1,0,0,0
STORY,17,8,6,0,1,16,2,0,0,0,0,0
PLACE,17,5,2,2,0,18,10,1,1,0,0,0
ENJOY,17,16,2,6,8,6,1,1,0,0,0,0
ACTION,17,10,6,10,10,8,5,6,0,0,0,0
ACT,17,19,5,1,9,1,1,1,0,0,0,0
COMMUTE,17,8,9,9,10,1,0,0,0,0,0,0
BIG,17,14,3,9,10,3,3,5,0,0,0,0
SHOULD,17,10,10,11,3,2,1,3,0,0,1,0
TEST,17,20,4,3,10,4,0,3,0,0,0,0
INCLUDE/INVOLVE,17,8,2,6,7,4,1,1,0,0,0,0
fs-GRUNT,17,15,8,3,3,18,4,1,1,0,0,0
(Y)YESTERDAY,17,10,11,4,4,1,1,1,0,0,0,0
WIN,16,15,2,8,8,2,1,2,1,0,0,0
5whoa,16,15,3,7,4,8,5,1,0,0,0,0
HOUSE,16,11,6,9,5,2,3,1,0,0,0,0
QUOTE/TOPIC,16,10,6,9,4,7,3,4,0,0,0,0
VOICE-RANGE,16,19,3,1,1,27,4,1,0,0,0,0
REASON,16,14,3,2,4,15,6,3,0,0,0,0
HAPPY,16,8,5,9,3,3,5,0,0,0,0,0
PLAY-continuative,16,8,5,6,8,2,9,2,0,0,0,0
BOY,16,8,2,2,9,0,3,0,0,0,0,0
DOG,16,17,2,3,2,4,1,4,0,0,0,0
(P)PAY,16,4,11,3,2,3,2,1,0,0,0,0
(flat-O)PAY/SPEND,16,10,8,7,7,3,0,1,0,0,0,0
SELF-3p:i,16,16,15,4,2,5,1,3,0,0,0,0
DIRECT/EXPLAIN,16,6,10,4,6,4,0,1,0,0,0,0
DISCUSS,16,7,3,15,1,6,2,0,3,0,0,0
BORN,16,12,6,7,4,1,1,1,0,0,0,0
SOME,15,8,4,3,2,10,7,0,0,0,0,0
LOOK-OVER,15,4,3,2,5,16,3,2,0,0,0,0
WHICH,15,9,7,4,0,10,5,0,0,0,0,0
STILL,15,8,6,6,1,12,5,5,0,0,0,0
MEET,15,7,2,1,5,8,2,0,0,0,0,0
fs-PARK,15,9,3,4,8,1,8,2,0,0,0,0
YEAR,15,5,2,12,7,4,0,1,1,0,0,0
NEVER,15,11,8,7,5,3,1,3,0,0,0,0
PRESIDENT,15,8,5,2,6,4,4,1,0,0,0,0
INTERNET,15,11,5,10,8,1,0,0,0,0,0,0
VIDEO-GAME,15,14,7,6,9,2,2,4,0,0,0,0
(nd-1)MOVIE,15,16,6,3,6,0,0,2,0,0,0,0
VACATION,15,10,4,4,10,2,3,0,0,0,0,0
CHAT,15,12,3,5,9,1,2,0,0,0,0,0
WIFE,15,11,5,9,5,1,2,5,0,0,0,0
IDENTIFY,15,10,8,3,2,13,4,2,0,0,0,0
fs-SPEECH,15,6,11,2,2,2,0,8,0,0,0,0
ALWAYS,14,11,3,5,8,0,1,1,0,0,0,0
AUNT,14,13,6,2,7,2,2,0,0,0,0,0
CHOCOLATE,14,4,6,6,1,1,2,2,0,0,0,0
BEAUTIFUL,14,13,2,3,4,1,1,4,0,0,0,0
AREA,14,14,3,1,0,16,10,1,0,0,0,0
GROW-UP,14,8,7,2,7,7,5,2,0,0,0,0
COOPERATE/UNITE,14,0,2,0,4,11,8,0,0,0,0,0
GAME,14,16,5,2,2,5,6,1,0,0,0,0
CHILDREN,14,11,8,6,5,0,3,2,0,0,0,0
SMALL,14,15,7,4,2,1,6,2,0,0,0,0
SOON,14,13,6,8,9,2,2,5,0,0,0,0
FACE,14,13,9,4,3,2,2,1,0,0,0,0
PO,14,12,4,4,3,1,1,3,0,0,0,0
FARM,14,15,3,5,6,1,3,0,0,0,0,0
FRISBEE,14,8,4,6,4,1,0,0,0,0,0,0
STRANGE,14,12,7,4,2,2,1,7,0,0,0,0
fs-ORIENTATION,14,2,5,0,2,5,5,0,0,0,0,1
CORRECT,14,8,6,2,5,5,1,6,0,0,0,0
SORRY,14,9,7,7,12,3,0,1,0,0,0,0
MOVE,14,6,1,8,7,1,2,0,0,0,0,0
fs-CREAMCHEESE,14,4,12,18,0,0,2,0,0,0,0,0
FORGET-IT,13,13,5,9,8,2,2,1,0,1,0,0
BORE,13,12,1,4,4,3,3,0,0,0,0,0
SCREAM,13,15,8,2,5,15,10,8,0,0,0,0
OK,13,5,3,4,2,8,8,4,0,0,0,0
OR,13,10,6,4,5,6,2,0,0,0,0,0
WRONG,13,4,7,6,2,9,2,3,0,0,0,0
INFORM,13,8,11,4,4,11,6,1,0,0,0,0
QUIET,13,9,1,1,5,15,8,1,0,0,0,0
SWIM,13,8,5,6,7,3,5,1,0,1,0,0
CAMP,13,5,5,2,5,1,1,0,0,0,0,0
SCL:bent-U-Lperson walking,13,6,8,2,3,1,3,1,0,1,0,0
(G/Q)POSS-1p,13,11,4,4,4,1,4,0,0,0,0,0
HS,13,12,8,3,6,0,0,0,0,0,0,0
MOVIE_2,13,10,4,7,7,0,0,3,0,0,0,0
EVERY-YEAR,13,10,4,2,11,2,2,0,0,0,0,0
HEAR/LISTEN,13,10,10,3,3,1,0,0,0,0,0,0
BAD,13,11,8,3,5,2,1,2,1,0,0,0
PAST,13,12,7,2,3,2,2,4,0,0,0,0
HOT,13,15,2,1,1,3,2,4,0,0,0,0
(L)LIVE,13,4,6,4,6,2,2,3,0,0,0,0
ns-fs-JACK,13,6,4,2,1,4,2,1,0,0,0,0
MONEY,12,9,0,2,3,0,2,1,0,0,0,0
WEATHER,12,11,4,5,2,1,2,1,0,0,0,0
BECOME,12,10,1,5,2,1,1,3,0,0,0,0
IX-1p-pl-arc,12,8,7,5,5,5,4,0,0,0,0,0
DURING/WHILE,12,8,3,3,8,3,2,1,0,0,0,0
SAY,12,7,6,4,6,3,4,6,0,0,0,0
STOP,12,9,5,2,5,3,3,2,0,0,0,0
IDEA,12,1,4,3,1,8,2,0,0,0,0,0
5perplexed,12,4,5,0,1,4,3,4,0,0,0,0
PLAN,12,8,9,3,2,1,3,0,0,0,0,0
FISHING,12,10,2,3,5,0,1,2,0,0,0,0
VP,12,8,4,4,7,0,2,0,0,0,0,0
COLD,12,11,3,3,3,2,4,3,0,0,0,0
fs-RENT,12,5,10,2,1,2,2,0,0,0,0,0
SHIRT,12,6,3,4,6,2,1,1,0,0,0,0
MOVE-AWAY,12,8,3,3,4,1,2,0,0,0,0,0
ns-SD,12,8,3,3,4,1,2,0,0,0,0,0
SALE,12,11,6,2,3,0,4,0,0,0,0,0
UNDERSTAND,12,8,4,4,6,5,0,0,0,0,0,0
PIE,12,13,4,2,7,2,1,0,0,0,0,0
WARM,12,10,5,2,1,2,1,4,0,0,0,0
INTERCOURSEfs-UP,12,6,4,4,0,6,2,2,0,0,0,0
CHARACTER,12,4,3,1,4,13,3,1,0,0,0,0
KEY,12,4,7,3,3,2,0,2,0,0,0,0
REALLYWORK/BUSINESS,12,20,0,8,4,0,4,8,0,0,0,0
PAY/BUY,12,8,3,0,2,0,3,3,0,0,0,0
LAST,11,11,4,3,10,0,0,2,0,0,0,0
fs-RANGE,11,5,3,2,0,12,8,2,0,0,0,0
WATER,11,6,3,2,2,6,9,4,0,0,0,0
PHONE,11,8,5,4,1,10,1,0,0,0,0,0
LIBRARY,11,9,0,1,1,1,1,0,0,0,0,0
COURT,11,3,4,0,1,11,10,2,0,0,0,0
(Y)WOW,11,5,7,2,4,2,1,3,0,0,0,0
AGAIN,11,6,1,2,1,4,6,0,0,0,0,0
LIVE,11,5,1,2,1,11,3,1,0,0,0,0
ns-fs-OBAMA,11,10,2,6,2,5,2,0,0,0,0,0
DCL:crvd-5group go together,11,7,2,4,3,0,2,2,0,0,0,0
EXPERT,11,9,6,3,13,0,0,1,0,0,0,0
(5)WEATHER,11,8,7,1,5,1,0,2,1,0,0,0
PLAID,11,5,3,5,7,2,0,2,0,0,0,0
WEDDING,11,9,4,2,9,1,0,1,0,0,0,0
DRUNK,11,8,1,3,4,0,0,0,0,0,0,0
MOW,11,9,4,3,4,0,2,1,0,0,0,0
ONLY,11,9,6,2,1,2,2,0,0,0,0,0
IX-honorific:i,11,8,7,2,4,2,0,4,0,0,0,0
DIFFERENT-arc,11,7,4,3,2,0,0,0,0,0,0,0
AMONG_2,11,5,4,1,2,6,3,1,0,0,0,0
LAUGH,11,9,8,3,0,12,1,2,0,0,0,0
COUGH,11,11,4,2,3,1,2,1,0,0,0,0
WORD,10,8,5,9,14,4,2,2,0,0,0,0
WRITE,10,4,4,4,4,3,1,1,0,0,0,0
YES,10,8,3,4,2,1,2,3,0,0,0,0
UP-TO-NOW,10,5,1,2,5,4,2,5,0,0,0,0
SIGN,10,10,3,2,1,5,2,1,1,0,0,0
LOUD,10,3,1,0,0,10,6,1,0,0,0,0
OLD,10,10,3,5,2,1,2,2,0,1,0,0
ALL,10,14,2,6,3,3,0,0,0,0,0,0
5exasperation,10,2,8,8,4,3,2,2,0,0,0,0
GIRLFRIEND,10,10,2,2,4,6,4,0,0,0,0,0
COMMUNICATE,10,4,2,5,9,7,4,0,0,0,0,0
ALL-NIGHT,10,7,4,9,3,0,1,2,0,0,0,0
SCL:crvd-5group go together,10,11,7,3,6,0,0,0,0,0,0,0
MATCH,10,7,0,1,7,7,0,0,0,0,0,0
MISS/ASSUME,10,7,8,1,6,0,0,2,1,0,0,0
ASK,10,4,8,2,4,2,0,1,0,0,0,0
READY,10,9,2,4,5,0,5,0,0,0,0,0
SHORTS,10,7,4,1,1,1,2,1,0,0,0,0
BABY,10,11,2,4,4,2,0,1,0,0,0,0
BOX/ROOM,10,9,3,1,1,1,3,1,0,0,0,0
(R)FLOWER,10,11,1,1,2,2,0,1,0,0,0,0
EVERYDAY,10,9,3,4,6,1,0,0,0,0,0,0
fs-EVEN,10,5,2,1,1,4,2,1,0,0,0,0
SPEECH/ORAL,10,9,8,7,1,0,0,3,0,0,0,0
GIFT,10,4,5,2,4,1,1,1,0,0,0,0
MAJOR,10,3,6,0,1,2,0,0,0,0,0,0
HEARNOISE,10,8,0,0,4,8,8,2,0,0,0,0
FUNNY,10,8,2,1,3,5,0,3,0,0,0,0
DCL:Mhumming,10,4,8,1,2,5,0,6,0,0,0,0
FAIL,9,6,3,2,2,2,1,2,0,0,0,0
LOUSY,9,8,3,1,2,0,1,5,0,0,0,0
THROUGH,9,3,1,1,2,6,2,0,0,0,0,0
SITUATION,9,5,0,0,1,14,4,1,0,0,0,0
FIRST-IN-LIST,9,11,4,2,3,1,2,0,0,0,0,0
ALLOW,9,3,0,0,2,8,4,0,0,0,0,0
MOTHERwg,9,4,3,5,6,0,2,0,0,0,0,0
BEFORE_2,9,5,3,2,1,2,2,1,0,0,0,0
CONTINUE,9,7,5,5,4,1,0,2,0,0,0,0
HOW-MANY,9,5,9,3,5,0,2,0,0,0,0,0
FINEwg,9,6,3,3,6,0,1,0,0,0,0,0
BQQ,9,6,4,3,4,1,2,0,0,0,0,0
DANCE,9,6,3,3,8,0,0,2,0,0,0,0
(5)CRASH,9,7,4,3,2,0,1,1,0,0,0,0
DINNER,9,5,3,3,3,1,0,2,0,0,0,0
SEND,9,6,2,3,4,0,0,3,0,0,0,0
LETTER/MAIL,9,7,2,1,2,1,1,2,0,0,0,0
LIST-ORDER,9,0,0,2,1,9,2,1,0,0,0,0
BELOW_2,9,2,6,0,2,3,2,2,0,0,0,0
alt.LOOK-OVER,9,7,8,2,2,7,2,1,0,0,0,0
WORLD,9,1,1,1,0,7,5,1,0,0,0,0
HIGH,9,9,2,2,2,1,5,1,1,0,0,0
IX-3p:k,9,5,3,1,2,6,4,0,0,0,0,0
BETTER,9,6,2,9,7,1,4,2,0,0,0,0
SHOE,9,7,2,4,0,2,1,1,0,0,0,0
TOGETHER/GO-STEADY,9,6,0,4,2,0,1,0,0,0,0,0
SEEM,9,6,7,8,3,1,1,2,1,0,0,0
INHALE,9,17,2,0,0,1,6,0,0,0,0,0
FLOWER,8,2,3,4,0,0,1,0,0,0,0,0
DO,8,5,5,1,1,6,1,2,0,0,0,0
i:SAME-1p,8,1,2,5,2,1,2,2,0,0,0,0
VEGETABLE,8,10,3,5,1,0,1,2,0,0,0,0
fs-LOX,8,1,3,5,0,2,0,0,0,0,0,0
POSS-3p-pl-arc,8,5,4,2,1,1,0,1,0,0,0,0
AROUND,8,4,2,4,0,3,1,0,0,0,0,0
(B-L)BECAUSE,8,3,2,1,4,12,5,3,0,0,0,0
PROGRESS,8,4,0,5,0,5,3,0,0,0,0,0
OUT,8,8,2,0,0,9,4,0,0,0,0,0
HOPE,8,4,1,0,0,4,2,0,0,0,0,0
SECOND-IN-LIST,8,9,2,3,3,1,1,0,0,0,0,0
NEXT-TO,8,3,3,1,9,3,1,3,0,0,0,0
TWENTY,8,8,1,3,7,1,2,1,0,0,0,0
ALL_2,8,5,1,2,2,3,3,1,0,0,0,0
LOOK:i,8,6,3,2,3,2,1,1,0,0,0,0
GRAB-CHANCE,8,6,2,4,3,1,1,5,0,0,0,0
COME,8,8,6,2,3,0,0,1,0,0,0,0
STAY_2,8,7,1,1,0,0,1,0,0,0,0,0
WINDOW,8,7,5,0,0,0,0,1,1,0,0,0
GRADUATE,8,5,4,1,2,0,0,0,0,0,0,0
THRILL/WHAT'S-UP,8,3,1,3,2,1,2,0,0,0,0,0
KNOW-THAT,8,4,4,4,3,3,0,1,0,0,0,0
ALL-DAY,8,8,1,0,6,0,0,1,0,0,0,0
TIRED,8,6,2,6,4,2,0,0,1,0,0,0
5I don't know,8,6,3,2,4,3,0,1,0,0,0,0
ns-fs-DONNA,8,7,1,2,5,1,1,0,0,0,0,0
INVITE/HIRE,8,7,3,0,2,0,0,0,0,0,0,0
SURF-INTERNET,8,8,5,6,7,0,0,0,0,0,0,0
THING,8,3,3,5,4,5,4,0,0,0,0,0
VARY,8,5,3,6,3,3,1,0,0,0,0,0
FAST_3,8,5,1,1,1,6,1,0,0,0,0,0
CLOSE-DOOR,8,8,1,0,2,2,1,0,0,0,0,0
NORMAL,8,3,3,2,0,5,1,1,0,0,0,0
ATTENTION-WAVE,8,3,4,3,5,2,0,2,0,0,1,0
FOCUS/NARROW,8,2,1,1,0,6,2,0,0,0,0,0
alt.SEE,8,2,0,0,0,14,8,1,0,0,0,0
HAIR_2DYE,8,4,0,0,2,0,0,0,0,0,0,0
fs-DISORDER,8,5,3,0,1,6,0,0,0,0,0,0
5hesitation,8,1,1,2,2,3,2,0,0,0,0,0
PING-PONG/TENNIS,8,7,0,0,2,8,2,0,0,0,0,0
VOTE,8,7,2,5,1,2,1,3,0,0,0,0
HOSPITAL,8,4,4,6,3,0,0,2,0,0,0,0
NEXT-WEEK,8,8,1,0,1,0,0,3,0,0,0,0
LANGUAGE,8,5,1,4,3,1,1,0,0,0,0,0
BLUEfs-BERRY,8,8,4,2,8,2,2,0,0,0,0,0
THREE,8,5,4,3,2,2,0,2,0,0,0,0
CAT,8,7,4,2,1,1,0,1,0,0,0,0
(25)WHYNOT,8,4,4,10,6,0,0,0,0,0,0,0
ANYTHING,8,2,0,6,0,4,0,0,0,0,0,0
ANGRY,7,0,0,1,1,6,0,0,0,0,0,0
5you know,7,7,4,3,0,1,2,1,0,0,0,0
(5)WOMAN,7,2,1,1,1,6,2,0,0,0,0,0
COLLEGE,7,7,4,2,0,5,3,0,0,0,0,0
TELL:i,7,2,2,2,0,3,3,3,0,0,0,0
RUN,7,9,1,0,0,11,3,2,0,0,0,0
LONG-LIST,7,2,2,0,0,7,3,2,0,0,0,0
TRANSFER,7,5,0,2,3,2,1,0,0,0,0,0
ns-fs-BILL,7,1,1,3,2,2,2,0,0,0,0,0
PUT-AWAY,7,5,3,3,1,0,2,2,0,0,0,0
TOGETHER/GO-STEADY_2,7,3,1,1,2,0,4,0,0,0,0,0
DCL:crvd-Bsmall puppies,7,6,1,2,1,2,1,0,0,0,0,0
DOLLAR_2,7,6,0,1,4,2,1,0,0,0,0,0
MILK,7,4,4,2,1,1,2,0,0,0,0,0
ORDER,7,3,1,6,1,6,2,0,0,0,0,0
DYE,7,5,2,2,1,1,3,0,0,0,0,0
HAIR,7,4,3,1,3,0,2,0,0,0,0,0
ns-FRANCE,7,3,0,0,2,2,3,2,0,0,0,0
KING,7,2,0,0,1,2,4,3,0,0,0,0
ROWING,7,2,3,2,6,0,0,2,0,0,0,0
LAPTOP,7,3,1,3,1,1,0,0,0,0,0,0
